id,school,sex,age,studytime,absences,g1,g2,g3,pass10
51,1,1,16,2,2,12,13,13,1
52,1,1,15,2,2,11,13,13,1
53,1,2,15,1,6,11,11,10,1
54,1,1,15,1,0,8,10,11,1
55,1,1,15,1,6,10,13,13,1
56,1,1,16,2,8,8,9,10,1
57,1,1,15,2,0,14,15,15,1
58,1,2,15,2,4,14,15,15,1
59,1,2,15,2,2,9,10,9,0
60,1,1,16,2,2,15,16,16,1
61,1,1,16,2,6,10,11,11,1
62,1,1,16,1,6,10,8,11,1
63,1,1,16,2,4,8,10,9,0
64,1,1,16,3,2,10,9,9,0
65,1,1,15,2,0,10,10,10,1
66,1,1,16,2,2,16,15,15,1
67,1,2,15,4,4,13,13,12,1
68,1,1,16,4,4,7,7,6,0
69,1,1,15,2,2,8,9,8,0
70,1,1,15,4,12,16,16,16,1
71,1,2,16,4,0,13,15,15,1
72,1,2,15,4,0,10,10,10,1
73,1,1,15,2,2,8,6,5,0
74,1,2,16,1,2,12,12,14,1
75,1,1,16,2,54,11,12,11,1
76,1,2,15,2,6,9,9,10,1
77,1,2,15,4,8,11,11,10,1
78,1,1,16,4,0,11,11,11,1
79,1,2,17,1,2,8,8,10,1
80,1,1,16,2,12,5,5,5,0
81,1,2,15,1,2,10,12,12,1
82,1,2,15,3,4,11,10,11,1
83,1,1,15,2,10,7,6,6,0
84,1,2,15,2,4,15,15,15,1
85,1,1,15,2,2,9,10,10,1
86,1,1,15,2,6,7,9,8,0
87,1,1,16,2,4,8,7,6,0
88,1,1,15,3,4,13,14,14,1
89,1,2,16,2,12,11,10,10,1
90,1,2,16,2,18,8,6,7,0
91,1,1,16,3,0,7,7,8,0
92,1,1,15,1,4,16,17,18,1
93,1,1,16,2,4,7,6,6,0
94,1,1,16,2,0,11,10,10,1
95,1,2,15,4,6,11,13,14,1
96,1,1,15,4,2,7,10,10,1
97,1,2,16,1,2,11,15,15,1
98,1,1,16,2,2,8,9,10,1
99,1,1,16,1,6,11,14,14,1
100,1,1,16,3,0,7,9,8,0
101,1,2,16,1,14,7,7,5,0
102,1,2,16,3,0,16,17,17,1
103,1,2,15,1,4,10,13,14,1
104,1,1,15,2,26,7,6,6,0
105,1,2,15,2,0,16,18,18,1
106,1,1,15,4,10,10,11,11,1
107,1,1,15,4,8,7,8,8,0
108,1,2,16,3,2,16,18,18,1
109,1,2,15,4,6,10,13,13,1
110,1,1,16,3,4,14,15,16,1
111,1,2,15,1,6,18,19,19,1
112,1,1,16,3,0,7,10,10,1
113,1,1,16,2,6,10,13,13,1
114,1,2,15,1,10,18,19,19,1
115,1,2,15,2,8,9,9,9,0
116,1,2,16,2,2,15,15,16,1
117,1,2,15,2,2,11,13,14,1
118,1,2,16,1,0,13,14,13,1
119,1,2,17,2,20,9,7,8,0
120,1,2,15,1,6,14,13,13,1
121,1,1,15,2,2,16,15,15,1
122,1,2,15,4,6,16,14,15,1
123,1,1,16,2,2,13,13,13,1
124,1,2,16,1,18,14,11,13,1
125,1,1,16,2,0,8,7,8,0
126,1,2,15,1,0,13,13,12,1
127,1,1,15,2,0,7,10,11,1
128,1,1,19,2,2,7,8,9,0
129,1,2,18,1,0,7,4,0,0
130,1,2,16,1,8,18,18,18,1
131,1,1,15,3,0,12,0,0,0
132,1,1,15,1,0,8,0,0,0
133,1,1,17,1,12,10,13,12,1
134,1,1,16,1,16,12,11,11,1
135,1,2,15,2,0,9,0,0,0
136,1,1,15,3,0,11,0,0,0
137,1,2,17,2,0,10,0,0,0
138,1,1,16,1,0,4,0,0,0
139,1,2,16,2,0,14,12,12,1
140,1,1,15,1,0,16,16,15,1
141,1,2,15,4,0,7,9,0,0
142,1,2,16,1,8,9,9,9,0
143,1,1,15,3,2,9,11,11,1
144,1,1,16,1,2,14,14,13,1
145,1,2,17,1,0,5,0,0,0
146,1,1,15,2,0,8,11,11,1
147,1,1,15,2,0,6,7,0,0
148,1,1,15,2,2,10,11,11,1
149,1,2,16,1,0,7,6,0,0
150,1,2,15,1,0,8,9,10,1
151,1,2,18,1,0,6,5,0,0
152,1,2,16,1,6,12,13,14,1
153,1,1,15,3,8,10,10,10,1
154,1,2,19,1,0,5,0,0,0
155,1,1,17,1,0,11,11,12,1
156,1,2,15,2,2,11,8,8,0
157,1,2,17,1,8,16,12,13,1
158,1,1,18,1,6,9,8,10,1
159,1,2,16,1,2,17,15,15,1
160,1,2,16,2,4,10,12,12,1
161,1,2,17,1,0,7,6,0,0
162,1,2,15,2,6,5,9,7,0
163,1,2,16,1,0,7,0,0,0
164,1,2,17,1,2,10,10,10,1
165,1,2,17,2,0,5,8,7,0
166,1,2,16,1,16,12,11,12,1
167,1,2,16,2,4,10,10,10,1
168,1,1,16,2,0,14,15,16,1
169,1,1,16,2,0,6,7,0,0
170,1,1,16,2,0,14,14,14,1
171,1,2,16,1,0,6,5,0,0
172,1,2,16,2,2,13,15,16,1
173,1,2,17,2,0,13,11,10,1
174,1,1,16,2,0,8,7,0,0
175,1,1,16,2,4,10,11,9,0
176,1,2,17,2,4,10,9,9,0
177,1,1,16,2,2,13,13,11,1
178,1,2,17,2,4,6,5,6,0
179,1,2,16,1,10,10,8,9,0
180,1,2,17,2,4,10,10,11,1
181,1,2,16,2,10,9,8,8,0
182,1,2,16,2,2,12,13,12,1
183,1,1,17,2,0,16,17,17,1
184,1,1,17,2,56,9,9,8,0
185,1,1,16,2,14,12,13,12,1
186,1,2,17,2,12,12,12,11,1
187,1,2,16,1,2,11,12,11,1
188,1,2,16,2,0,15,15,15,1
189,1,1,17,2,6,8,7,9,0
190,1,2,17,2,4,8,9,10,1
191,1,1,16,2,10,11,12,13,1
192,1,1,17,2,0,8,8,9,0
193,1,2,17,2,12,7,8,8,0
194,1,2,16,1,8,8,9,10,1
195,1,2,16,1,0,13,14,14,1
196,1,1,17,2,0,14,15,15,1
197,1,2,17,1,4,17,15,16,1
198,1,2,16,1,8,9,9,10,1
199,1,1,17,1,24,18,18,18,1
200,1,1,16,2,0,9,9,10,1
201,1,1,16,2,2,16,16,16,1
202,1,1,16,2,6,8,10,10,1
203,1,1,17,2,4,9,9,10,1
204,1,1,17,1,18,7,6,6,0
205,1,1,16,4,6,10,10,11,1
206,1,1,17,3,28,10,9,9,0
207,1,1,16,2,5,7,7,7,0
208,1,1,16,2,10,11,12,13,1
209,1,1,16,1,6,9,9,10,1
210,1,1,17,3,6,7,7,7,0
211,1,1,19,4,10,8,8,8,0
212,1,2,17,2,13,12,12,13,1
213,1,1,16,2,0,12,13,14,1
214,1,2,18,2,15,6,7,8,0
215,1,1,17,1,12,8,10,10,1
216,1,1,17,2,2,14,15,15,1
217,1,1,17,2,22,6,6,4,0
218,1,2,18,2,13,6,6,8,0
219,1,1,17,1,3,7,7,8,0
220,1,1,17,3,4,9,10,10,1
221,1,1,17,2,2,6,6,6,0
222,1,1,17,3,0,6,5,0,0
223,1,1,16,2,2,16,16,17,1
224,1,2,18,2,0,12,13,13,1
225,1,1,16,3,0,13,13,14,1
226,1,1,18,2,16,9,8,7,0
227,1,1,17,2,10,16,15,15,1
228,1,2,17,2,2,12,11,12,1
229,1,2,18,2,14,10,8,9,0
230,1,1,17,3,10,12,10,12,1
231,1,1,17,2,14,13,13,14,1
232,1,2,17,2,4,11,11,11,1
233,1,2,17,2,14,11,9,9,0
234,1,2,16,2,2,14,13,13,1
235,1,2,16,2,18,9,7,6,0
236,1,2,16,3,10,11,9,10,1
237,1,2,17,2,4,14,13,13,1
238,1,1,16,1,20,13,12,12,1
239,1,1,17,2,2,13,11,11,1
240,1,2,18,2,0,7,7,0,0
241,1,2,17,2,14,12,12,12,1
242,1,2,17,2,2,10,11,12,1
243,1,2,16,1,0,6,0,0,0
244,1,2,16,1,0,13,12,12,1
245,1,1,18,3,0,7,0,0,0
246,1,2,16,1,6,18,18,18,1
247,1,2,17,1,4,12,12,13,1
248,1,2,22,1,16,6,8,8,0
249,1,2,18,2,8,3,5,5,0
250,1,2,16,1,0,13,15,15,1
251,1,2,18,1,0,6,8,8,0
252,1,2,16,2,6,7,10,10,1
253,1,2,18,1,4,6,9,8,0
254,1,2,16,1,0,8,9,8,0
255,1,2,17,1,0,8,12,12,1
256,1,2,17,1,2,7,9,8,0
257,1,1,17,4,6,14,12,13,1
258,1,2,19,2,12,11,11,11,1
259,1,2,18,2,8,15,14,14,1
260,1,1,17,4,0,10,9,0,0
261,1,1,18,2,21,17,18,18,1
262,1,2,18,2,2,8,8,8,0
263,1,2,18,3,1,13,12,12,1
264,1,1,17,3,4,10,9,9,0
265,1,1,18,3,0,9,10,0,0
266,1,2,18,2,13,17,17,17,1
267,1,2,17,2,2,9,9,10,1
268,1,1,18,2,8,12,10,11,1
269,1,2,18,2,10,10,9,10,1
270,1,1,18,2,0,6,0,0,0
271,1,1,19,2,15,9,9,9,0
272,1,1,18,4,4,15,14,14,1
273,1,1,18,2,2,11,11,11,1
274,1,2,17,2,2,15,14,14,1
275,1,1,17,2,2,10,10,10,1
276,1,1,17,2,6,12,12,12,1
277,1,1,18,2,75,10,9,9,0
278,1,2,18,1,22,9,9,9,0
279,1,1,18,2,15,9,8,8,0
280,1,2,18,1,8,10,11,10,1
281,1,2,17,1,30,8,8,8,0
282,1,2,17,1,19,11,9,10,1
283,1,1,18,4,1,12,12,12,1
284,1,1,18,2,4,8,9,10,1
285,1,1,17,2,4,10,9,11,1
286,1,2,17,2,2,12,10,11,1
287,1,1,18,3,5,18,18,19,1
288,1,1,17,3,6,13,12,12,1
289,1,2,18,3,6,15,14,14,1
290,1,2,18,2,9,15,13,15,1
291,1,2,18,2,11,12,11,11,1
292,1,1,17,3,0,15,15,15,1
293,1,1,18,2,12,12,12,13,1
294,1,1,17,4,6,18,18,18,1
295,1,2,18,3,8,14,13,14,1
296,1,2,17,1,4,14,12,11,1
297,1,1,19,2,0,10,9,0,0
298,1,1,18,2,10,10,8,8,0
299,1,1,18,4,0,14,13,14,1
300,1,2,18,1,5,16,15,16,1
301,1,1,18,2,14,12,10,11,1
302,1,2,17,1,0,11,11,10,1
303,1,1,17,3,0,15,12,14,1
304,1,1,17,4,0,17,17,18,1
305,1,2,19,2,20,15,14,13,1
306,1,1,18,2,8,14,12,12,1
307,1,2,20,1,0,17,18,18,1
308,1,2,19,1,38,8,9,8,0
309,1,2,19,2,0,15,12,12,1
310,1,1,19,2,18,12,10,10,1
311,1,1,19,2,0,9,9,0,0
312,1,1,19,2,20,14,12,13,1
313,1,2,19,2,3,13,11,11,1
314,1,1,19,2,22,13,10,11,1
315,1,1,19,3,14,15,13,13,1
316,1,1,19,3,40,13,11,11,1
317,1,1,18,2,0,8,8,0,0
318,1,1,18,3,9,9,10,9,0
319,1,1,17,3,0,11,11,10,1
320,1,1,18,2,2,11,11,11,1
321,1,1,17,2,23,13,13,13,1
322,1,1,17,2,12,11,9,9,0
323,1,1,17,3,3,11,11,11,1
324,1,1,17,3,1,12,14,15,1
325,1,1,17,3,0,16,15,15,1
326,1,2,18,3,3,9,12,11,1
327,1,2,17,1,3,14,15,16,1
328,1,2,17,1,8,11,10,10,1
329,1,1,17,3,7,10,9,9,0
330,1,1,17,3,4,14,14,14,1
331,1,2,18,4,2,9,8,8,0
332,1,1,17,3,7,12,14,14,1
333,1,1,18,2,0,7,0,0,0
334,1,1,18,2,0,8,8,0,0
335,1,1,18,4,0,10,9,0,0
336,1,1,17,3,16,16,15,15,1
337,1,1,19,3,12,14,13,13,1
338,1,1,17,2,0,7,8,0,0
339,1,1,18,4,7,16,15,17,1
340,1,1,17,2,4,9,10,10,1
341,1,1,19,3,4,11,12,11,1
342,1,2,18,2,0,10,10,0,0
343,1,2,18,2,11,16,15,15,1
344,1,1,17,2,0,9,8,0,0
345,1,1,18,3,4,11,10,10,1
346,1,1,18,3,7,13,13,14,1
347,1,2,18,3,9,16,15,16,1
348,1,2,18,3,0,10,10,9,0
349,1,1,17,3,0,13,15,15,1
350,2,2,18,1,10,11,13,13,1
351,2,2,19,2,8,8,7,8,0
352,2,2,17,2,2,13,13,13,1
353,2,2,18,1,7,8,7,8,0
354,2,2,19,1,4,8,8,8,0
355,2,2,17,2,4,13,11,11,1
356,2,1,18,2,0,10,9,9,0
357,2,1,17,2,4,12,13,13,1
358,2,1,17,2,2,12,12,11,1
359,2,2,18,1,4,10,10,10,1
360,2,1,18,3,0,18,16,16,1
361,2,1,18,2,0,13,13,13,1
362,2,2,18,2,2,13,12,12,1
363,2,1,18,2,0,11,11,10,1
364,2,1,17,2,0,16,15,15,1
365,2,1,17,2,0,12,11,12,1
366,2,2,18,2,4,10,10,10,1
367,2,2,18,3,0,13,13,13,1
368,2,1,17,1,0,7,6,0,0
369,2,1,18,1,0,11,10,10,1
370,2,1,18,2,10,14,12,11,1
371,2,1,19,2,4,7,7,9,0
372,2,2,18,1,3,14,12,12,1
373,2,1,17,3,8,13,11,11,1
374,2,1,17,1,14,6,5,5,0
375,2,1,18,3,0,19,18,19,1
376,2,1,18,3,2,8,8,10,1
377,2,1,20,3,4,15,14,15,1
378,2,1,18,2,4,8,9,10,1
379,2,1,18,2,0,15,15,15,1
380,2,1,17,2,17,10,10,10,1
381,2,2,18,2,4,15,14,14,1
382,2,2,18,1,5,7,6,7,0
383,2,2,17,2,2,11,11,10,1
384,2,2,19,1,0,6,5,0,0
385,2,2,18,1,14,6,5,5,0
386,2,1,18,3,2,10,9,10,1
387,2,1,18,1,7,6,5,6,0
388,2,1,19,3,0,7,5,0,0
389,2,1,18,2,0,7,9,8,0
390,2,1,18,2,0,6,5,0,0
391,2,2,20,2,11,9,9,9,0
392,2,2,17,1,3,14,16,16,1
393,2,2,21,1,3,10,8,7,0
394,2,2,18,1,0,11,12,10,1
395,2,2,19,1,5,8,9,9,0
