id,school,sex,age,studytime,absences,g1,g2,g3,pass10,srs40,strat40,strw
36,1,1,15,1,0,8,7,6,0,0,0,9.971428571428572
37,1,2,15,3,2,15,16,18,1,1,0,9.971428571428572
38,1,2,16,3,7,15,16,15,1,0,0,9.971428571428572
39,1,1,15,3,2,12,12,11,1,0,0,9.971428571428572
40,1,1,15,1,8,14,13,13,1,0,0,9.971428571428572
41,1,1,16,2,25,7,10,11,1,0,0,9.971428571428572
42,1,2,15,1,8,12,12,12,1,0,0,9.971428571428572
43,1,2,15,2,2,19,18,18,1,0,0,9.971428571428572
44,1,2,15,1,0,8,8,11,1,0,0,9.971428571428572
45,1,1,16,2,14,10,10,9,0,0,0,9.971428571428572
46,1,1,15,2,8,8,8,6,0,1,0,9.971428571428572
47,1,1,16,2,12,11,12,11,1,0,0,9.971428571428572
48,1,2,16,4,4,19,19,20,1,0,0,9.971428571428572
49,1,2,15,2,2,15,15,14,1,0,0,9.971428571428572
50,1,1,15,2,2,7,7,7,0,0,0,9.971428571428572
51,1,1,16,2,2,12,13,13,1,0,0,9.971428571428572
52,1,1,15,2,2,11,13,13,1,0,1,9.971428571428572
53,1,2,15,1,6,11,11,10,1,0,0,9.971428571428572
54,1,1,15,1,0,8,10,11,1,0,0,9.971428571428572
55,1,1,15,1,6,10,13,13,1,0,0,9.971428571428572
56,1,1,16,2,8,8,9,10,1,0,0,9.971428571428572
57,1,1,15,2,0,14,15,15,1,0,0,9.971428571428572
58,1,2,15,2,4,14,15,15,1,1,0,9.971428571428572
59,1,2,15,2,2,9,10,9,0,0,0,9.971428571428572
60,1,1,16,2,2,15,16,16,1,0,0,9.971428571428572
61,1,1,16,2,6,10,11,11,1,0,0,9.971428571428572
62,1,1,16,1,6,10,8,11,1,1,0,9.971428571428572
63,1,1,16,2,4,8,10,9,0,1,1,9.971428571428572
64,1,1,16,3,2,10,9,9,0,1,0,9.971428571428572
65,1,1,15,2,0,10,10,10,1,0,0,9.971428571428572
66,1,1,16,2,2,16,15,15,1,1,0,9.971428571428572
67,1,2,15,4,4,13,13,12,1,0,0,9.971428571428572
68,1,1,16,4,4,7,7,6,0,0,0,9.971428571428572
69,1,1,15,2,2,8,9,8,0,0,0,9.971428571428572
70,1,1,15,4,12,16,16,16,1,0,0,9.971428571428572
71,1,2,16,4,0,13,15,15,1,0,0,9.971428571428572
72,1,2,15,4,0,10,10,10,1,0,0,9.971428571428572
73,1,1,15,2,2,8,6,5,0,0,0,9.971428571428572
74,1,2,16,1,2,12,12,14,1,0,0,9.971428571428572
75,1,1,16,2,54,11,12,11,1,0,1,9.971428571428572
76,1,2,15,2,6,9,9,10,1,0,0,9.971428571428572
77,1,2,15,4,8,11,11,10,1,0,0,9.971428571428572
78,1,1,16,4,0,11,11,11,1,0,0,9.971428571428572
79,1,2,17,1,2,8,8,10,1,0,0,9.971428571428572
80,1,1,16,2,12,5,5,5,0,0,0,9.971428571428572
81,1,2,15,1,2,10,12,12,1,0,0,9.971428571428572
82,1,2,15,3,4,11,10,11,1,0,0,9.971428571428572
83,1,1,15,2,10,7,6,6,0,0,0,9.971428571428572
84,1,2,15,2,4,15,15,15,1,0,1,9.971428571428572
85,1,1,15,2,2,9,10,10,1,0,0,9.971428571428572
86,1,1,15,2,6,7,9,8,0,0,0,9.971428571428572
87,1,1,16,2,4,8,7,6,0,0,0,9.971428571428572
88,1,1,15,3,4,13,14,14,1,0,0,9.971428571428572
89,1,2,16,2,12,11,10,10,1,0,0,9.971428571428572
90,1,2,16,2,18,8,6,7,0,1,0,9.971428571428572
91,1,1,16,3,0,7,7,8,0,0,0,9.971428571428572
92,1,1,15,1,4,16,17,18,1,0,0,9.971428571428572
93,1,1,16,2,4,7,6,6,0,0,0,9.971428571428572
94,1,1,16,2,0,11,10,10,1,0,0,9.971428571428572
95,1,2,15,4,6,11,13,14,1,0,0,9.971428571428572
96,1,1,15,4,2,7,10,10,1,0,0,9.971428571428572
97,1,2,16,1,2,11,15,15,1,0,0,9.971428571428572
98,1,1,16,2,2,8,9,10,1,0,0,9.971428571428572
99,1,1,16,1,6,11,14,14,1,0,0,9.971428571428572
100,1,1,16,3,0,7,9,8,0,0,0,9.971428571428572
101,1,2,16,1,14,7,7,5,0,0,1,9.971428571428572
102,1,2,16,3,0,16,17,17,1,0,0,9.971428571428572
103,1,2,15,1,4,10,13,14,1,0,0,9.971428571428572
104,1,1,15,2,26,7,6,6,0,0,0,9.971428571428572
105,1,2,15,2,0,16,18,18,1,0,0,9.971428571428572
106,1,1,15,4,10,10,11,11,1,0,0,9.971428571428572
107,1,1,15,4,8,7,8,8,0,0,0,9.971428571428572
108,1,2,16,3,2,16,18,18,1,1,0,9.971428571428572
109,1,2,15,4,6,10,13,13,1,0,0,9.971428571428572
110,1,1,16,3,4,14,15,16,1,1,0,9.971428571428572
111,1,2,15,1,6,18,19,19,1,0,0,9.971428571428572
112,1,1,16,3,0,7,10,10,1,1,0,9.971428571428572
113,1,1,16,2,6,10,13,13,1,0,0,9.971428571428572
114,1,2,15,1,10,18,19,19,1,0,0,9.971428571428572
115,1,2,15,2,8,9,9,9,0,0,0,9.971428571428572
116,1,2,16,2,2,15,15,16,1,0,0,9.971428571428572
117,1,2,15,2,2,11,13,14,1,0,0,9.971428571428572
118,1,2,16,1,0,13,14,13,1,0,0,9.971428571428572
119,1,2,17,2,20,9,7,8,0,0,0,9.971428571428572
120,1,2,15,1,6,14,13,13,1,0,0,9.971428571428572
121,1,1,15,2,2,16,15,15,1,0,0,9.971428571428572
122,1,2,15,4,6,16,14,15,1,0,1,9.971428571428572
123,1,1,16,2,2,13,13,13,1,0,0,9.971428571428572
124,1,2,16,1,18,14,11,13,1,0,0,9.971428571428572
125,1,1,16,2,0,8,7,8,0,0,0,9.971428571428572
126,1,2,15,1,0,13,13,12,1,0,0,9.971428571428572
127,1,1,15,2,0,7,10,11,1,0,1,9.971428571428572
128,1,1,19,2,2,7,8,9,0,0,0,9.971428571428572
129,1,2,18,1,0,7,4,0,0,0,0,9.971428571428572
130,1,2,16,1,8,18,18,18,1,1,1,9.971428571428572
131,1,1,15,3,0,12,0,0,0,0,1,9.971428571428572
132,1,1,15,1,0,8,0,0,0,1,0,9.971428571428572
133,1,1,17,1,12,10,13,12,1,1,0,9.971428571428572
134,1,1,16,1,16,12,11,11,1,0,0,9.971428571428572
135,1,2,15,2,0,9,0,0,0,1,0,9.971428571428572
136,1,1,15,3,0,11,0,0,0,0,0,9.971428571428572
137,1,2,17,2,0,10,0,0,0,0,0,9.971428571428572
138,1,1,16,1,0,4,0,0,0,0,0,9.971428571428572
139,1,2,16,2,0,14,12,12,1,0,1,9.971428571428572
140,1,1,15,1,0,16,16,15,1,0,0,9.971428571428572
141,1,2,15,4,0,7,9,0,0,0,0,9.971428571428572
142,1,2,16,1,8,9,9,9,0,0,0,9.971428571428572
143,1,1,15,3,2,9,11,11,1,0,0,9.971428571428572
144,1,1,16,1,2,14,14,13,1,0,1,9.971428571428572
145,1,2,17,1,0,5,0,0,0,0,0,9.971428571428572
146,1,1,15,2,0,8,11,11,1,0,0,9.971428571428572
147,1,1,15,2,0,6,7,0,0,0,0,9.971428571428572
148,1,1,15,2,2,10,11,11,1,0,0,9.971428571428572
149,1,2,16,1,0,7,6,0,0,0,0,9.971428571428572
150,1,2,15,1,0,8,9,10,1,0,0,9.971428571428572
151,1,2,18,1,0,6,5,0,0,0,0,9.971428571428572
152,1,2,16,1,6,12,13,14,1,0,1,9.971428571428572
153,1,1,15,3,8,10,10,10,1,0,0,9.971428571428572
154,1,2,19,1,0,5,0,0,0,0,0,9.971428571428572
155,1,1,17,1,0,11,11,12,1,0,0,9.971428571428572
156,1,2,15,2,2,11,8,8,0,0,1,9.971428571428572
157,1,2,17,1,8,16,12,13,1,0,0,9.971428571428572
158,1,1,18,1,6,9,8,10,1,0,0,9.971428571428572
159,1,2,16,1,2,17,15,15,1,0,0,9.971428571428572
160,1,2,16,2,4,10,12,12,1,0,0,9.971428571428572
161,1,2,17,1,0,7,6,0,0,0,0,9.971428571428572
162,1,2,15,2,6,5,9,7,0,0,1,9.971428571428572
163,1,2,16,1,0,7,0,0,0,0,1,9.971428571428572
164,1,2,17,1,2,10,10,10,1,0,0,9.971428571428572
165,1,2,17,2,0,5,8,7,0,0,0,9.971428571428572
166,1,2,16,1,16,12,11,12,1,0,0,9.971428571428572
167,1,2,16,2,4,10,10,10,1,0,0,9.971428571428572
168,1,1,16,2,0,14,15,16,1,0,0,9.971428571428572
169,1,1,16,2,0,6,7,0,0,1,0,9.971428571428572
170,1,1,16,2,0,14,14,14,1,0,1,9.971428571428572
171,1,2,16,1,0,6,5,0,0,0,0,9.971428571428572
172,1,2,16,2,2,13,15,16,1,0,0,9.971428571428572
173,1,2,17,2,0,13,11,10,1,0,0,9.971428571428572
174,1,1,16,2,0,8,7,0,0,0,0,9.971428571428572
175,1,1,16,2,4,10,11,9,0,1,0,9.971428571428572
176,1,2,17,2,4,10,9,9,0,0,0,9.971428571428572
177,1,1,16,2,2,13,13,11,1,0,1,9.971428571428572
178,1,2,17,2,4,6,5,6,0,0,0,9.971428571428572
179,1,2,16,1,10,10,8,9,0,0,0,9.971428571428572
180,1,2,17,2,4,10,10,11,1,1,0,9.971428571428572
181,1,2,16,2,10,9,8,8,0,0,0,9.971428571428572
182,1,2,16,2,2,12,13,12,1,0,0,9.971428571428572
183,1,1,17,2,0,16,17,17,1,0,0,9.971428571428572
184,1,1,17,2,56,9,9,8,0,0,1,9.971428571428572
185,1,1,16,2,14,12,13,12,1,0,0,9.971428571428572
186,1,2,17,2,12,12,12,11,1,0,0,9.971428571428572
187,1,2,16,1,2,11,12,11,1,0,0,9.971428571428572
188,1,2,16,2,0,15,15,15,1,0,0,9.971428571428572
189,1,1,17,2,6,8,7,9,0,0,0,9.971428571428572
190,1,2,17,2,4,8,9,10,1,0,0,9.971428571428572
191,1,1,16,2,10,11,12,13,1,0,1,9.971428571428572
192,1,1,17,2,0,8,8,9,0,0,0,9.971428571428572
193,1,2,17,2,12,7,8,8,0,0,0,9.971428571428572
194,1,2,16,1,8,8,9,10,1,0,0,9.971428571428572
195,1,2,16,1,0,13,14,14,1,0,0,9.971428571428572
196,1,1,17,2,0,14,15,15,1,0,0,9.971428571428572
197,1,2,17,1,4,17,15,16,1,0,0,9.971428571428572
198,1,2,16,1,8,9,9,10,1,0,0,9.971428571428572
199,1,1,17,1,24,18,18,18,1,1,0,9.971428571428572
200,1,1,16,2,0,9,9,10,1,0,0,9.971428571428572
201,1,1,16,2,2,16,16,16,1,0,0,9.971428571428572
202,1,1,16,2,6,8,10,10,1,0,1,9.971428571428572
203,1,1,17,2,4,9,9,10,1,0,0,9.971428571428572
204,1,1,17,1,18,7,6,6,0,0,0,9.971428571428572
205,1,1,16,4,6,10,10,11,1,0,0,9.971428571428572
206,1,1,17,3,28,10,9,9,0,0,0,9.971428571428572
207,1,1,16,2,5,7,7,7,0,0,1,9.971428571428572
208,1,1,16,2,10,11,12,13,1,0,0,9.971428571428572
209,1,1,16,1,6,9,9,10,1,0,0,9.971428571428572
210,1,1,17,3,6,7,7,7,0,0,1,9.971428571428572
211,1,1,19,4,10,8,8,8,0,0,0,9.971428571428572
212,1,2,17,2,13,12,12,13,1,0,0,9.971428571428572
213,1,1,16,2,0,12,13,14,1,0,0,9.971428571428572
214,1,2,18,2,15,6,7,8,0,0,0,9.971428571428572
215,1,1,17,1,12,8,10,10,1,0,0,9.971428571428572
216,1,1,17,2,2,14,15,15,1,0,0,9.971428571428572
217,1,1,17,2,22,6,6,4,0,0,0,9.971428571428572
218,1,2,18,2,13,6,6,8,0,0,0,9.971428571428572
219,1,1,17,1,3,7,7,8,0,0,0,9.971428571428572
220,1,1,17,3,4,9,10,10,1,0,0,9.971428571428572
221,1,1,17,2,2,6,6,6,0,0,1,9.971428571428572
222,1,1,17,3,0,6,5,0,0,0,0,9.971428571428572
223,1,1,16,2,2,16,16,17,1,0,0,9.971428571428572
224,1,2,18,2,0,12,13,13,1,0,0,9.971428571428572
225,1,1,16,3,0,13,13,14,1,0,0,9.971428571428572
226,1,1,18,2,16,9,8,7,0,0,0,9.971428571428572
227,1,1,17,2,10,16,15,15,1,0,1,9.971428571428572
228,1,2,17,2,2,12,11,12,1,0,0,9.971428571428572
229,1,2,18,2,14,10,8,9,0,0,0,9.971428571428572
230,1,1,17,3,10,12,10,12,1,1,0,9.971428571428572
231,1,1,17,2,14,13,13,14,1,1,0,9.971428571428572
232,1,2,17,2,4,11,11,11,1,0,0,9.971428571428572
233,1,2,17,2,14,11,9,9,0,0,0,9.971428571428572
234,1,2,16,2,2,14,13,13,1,0,0,9.971428571428572
235,1,2,16,2,18,9,7,6,0,1,1,9.971428571428572
236,1,2,16,3,10,11,9,10,1,0,0,9.971428571428572
237,1,2,17,2,4,14,13,13,1,0,0,9.971428571428572
238,1,1,16,1,20,13,12,12,1,0,0,9.971428571428572
239,1,1,17,2,2,13,11,11,1,0,0,9.971428571428572
240,1,2,18,2,0,7,7,0,0,0,0,9.971428571428572
241,1,2,17,2,14,12,12,12,1,0,0,9.971428571428572
242,1,2,17,2,2,10,11,12,1,0,0,9.971428571428572
243,1,2,16,1,0,6,0,0,0,1,0,9.971428571428572
244,1,2,16,1,0,13,12,12,1,1,1,9.971428571428572
245,1,1,18,3,0,7,0,0,0,0,0,9.971428571428572
246,1,2,16,1,6,18,18,18,1,0,0,9.971428571428572
247,1,2,17,1,4,12,12,13,1,0,0,9.971428571428572
248,1,2,22,1,16,6,8,8,0,0,0,9.971428571428572
249,1,2,18,2,8,3,5,5,0,1,0,9.971428571428572
250,1,2,16,1,0,13,15,15,1,0,0,9.971428571428572
251,1,2,18,1,0,6,8,8,0,0,0,9.971428571428572
252,1,2,16,2,6,7,10,10,1,0,0,9.971428571428572
253,1,2,18,1,4,6,9,8,0,0,0,9.971428571428572
254,1,2,16,1,0,8,9,8,0,0,0,9.971428571428572
255,1,2,17,1,0,8,12,12,1,1,1,9.971428571428572
256,1,2,17,1,2,7,9,8,0,0,0,9.971428571428572
257,1,1,17,4,6,14,12,13,1,0,0,9.971428571428572
258,1,2,19,2,12,11,11,11,1,0,0,9.971428571428572
259,1,2,18,2,8,15,14,14,1,0,0,9.971428571428572
260,1,1,17,4,0,10,9,0,0,1,0,9.971428571428572
261,1,1,18,2,21,17,18,18,1,0,0,9.971428571428572
262,1,2,18,2,2,8,8,8,0,0,0,9.971428571428572
263,1,2,18,3,1,13,12,12,1,0,0,9.971428571428572
264,1,1,17,3,4,10,9,9,0,0,0,9.971428571428572
265,1,1,18,3,0,9,10,0,0,0,0,9.971428571428572
266,1,2,18,2,13,17,17,17,1,0,0,9.971428571428572
267,1,2,17,2,2,9,9,10,1,1,0,9.971428571428572
268,1,1,18,2,8,12,10,11,1,0,0,9.971428571428572
269,1,2,18,2,10,10,9,10,1,0,0,9.971428571428572
270,1,1,18,2,0,6,0,0,0,0,0,9.971428571428572
271,1,1,19,2,15,9,9,9,0,0,0,9.971428571428572
272,1,1,18,4,4,15,14,14,1,0,0,9.971428571428572
273,1,1,18,2,2,11,11,11,1,0,0,9.971428571428572
274,1,2,17,2,2,15,14,14,1,0,0,9.971428571428572
275,1,1,17,2,2,10,10,10,1,0,0,9.971428571428572
276,1,1,17,2,6,12,12,12,1,1,0,9.971428571428572
277,1,1,18,2,75,10,9,9,0,0,0,9.971428571428572
278,1,2,18,1,22,9,9,9,0,0,1,9.971428571428572
279,1,1,18,2,15,9,8,8,0,0,0,9.971428571428572
280,1,2,18,1,8,10,11,10,1,0,0,9.971428571428572
281,1,2,17,1,30,8,8,8,0,0,0,9.971428571428572
282,1,2,17,1,19,11,9,10,1,0,0,9.971428571428572
283,1,1,18,4,1,12,12,12,1,0,0,9.971428571428572
284,1,1,18,2,4,8,9,10,1,0,0,9.971428571428572
285,1,1,17,2,4,10,9,11,1,0,0,9.971428571428572
286,1,2,17,2,2,12,10,11,1,0,0,9.971428571428572
287,1,1,18,3,5,18,18,19,1,0,0,9.971428571428572
288,1,1,17,3,6,13,12,12,1,0,0,9.971428571428572
289,1,2,18,3,6,15,14,14,1,1,0,9.971428571428572
290,1,2,18,2,9,15,13,15,1,0,0,9.971428571428572
291,1,2,18,2,11,12,11,11,1,1,0,9.971428571428572
292,1,1,17,3,0,15,15,15,1,0,0,9.971428571428572
293,1,1,18,2,12,12,12,13,1,0,0,9.971428571428572
294,1,1,17,4,6,18,18,18,1,0,0,9.971428571428572
295,1,2,18,3,8,14,13,14,1,0,1,9.971428571428572
296,1,2,17,1,4,14,12,11,1,0,0,9.971428571428572
297,1,1,19,2,0,10,9,0,0,0,0,9.971428571428572
298,1,1,18,2,10,10,8,8,0,0,0,9.971428571428572
299,1,1,18,4,0,14,13,14,1,0,0,9.971428571428572
300,1,2,18,1,5,16,15,16,1,0,0,9.971428571428572
301,1,1,18,2,14,12,10,11,1,0,0,9.971428571428572
302,1,2,17,1,0,11,11,10,1,0,0,9.971428571428572
303,1,1,17,3,0,15,12,14,1,0,0,9.971428571428572
304,1,1,17,4,0,17,17,18,1,1,0,9.971428571428572
305,1,2,19,2,20,15,14,13,1,1,0,9.971428571428572
306,1,1,18,2,8,14,12,12,1,0,0,9.971428571428572
307,1,2,20,1,0,17,18,18,1,0,0,9.971428571428572
308,1,2,19,1,38,8,9,8,0,0,0,9.971428571428572
309,1,2,19,2,0,15,12,12,1,0,0,9.971428571428572
310,1,1,19,2,18,12,10,10,1,0,0,9.971428571428572
311,1,1,19,2,0,9,9,0,0,0,0,9.971428571428572
312,1,1,19,2,20,14,12,13,1,0,0,9.971428571428572
313,1,2,19,2,3,13,11,11,1,0,0,9.971428571428572
314,1,1,19,2,22,13,10,11,1,0,0,9.971428571428572
315,1,1,19,3,14,15,13,13,1,0,0,9.971428571428572
316,1,1,19,3,40,13,11,11,1,0,0,9.971428571428572
317,1,1,18,2,0,8,8,0,0,0,0,9.971428571428572
318,1,1,18,3,9,9,10,9,0,0,0,9.971428571428572
319,1,1,17,3,0,11,11,10,1,0,1,9.971428571428572
320,1,1,18,2,2,11,11,11,1,1,0,9.971428571428572
321,1,1,17,2,23,13,13,13,1,0,0,9.971428571428572
322,1,1,17,2,12,11,9,9,0,0,0,9.971428571428572
323,1,1,17,3,3,11,11,11,1,0,0,9.971428571428572
324,1,1,17,3,1,12,14,15,1,0,0,9.971428571428572
325,1,1,17,3,0,16,15,15,1,0,1,9.971428571428572
326,1,2,18,3,3,9,12,11,1,0,0,9.971428571428572
327,1,2,17,1,3,14,15,16,1,0,0,9.971428571428572
328,1,2,17,1,8,11,10,10,1,0,0,9.971428571428572
329,1,1,17,3,7,10,9,9,0,0,0,9.971428571428572
330,1,1,17,3,4,14,14,14,1,0,0,9.971428571428572
331,1,2,18,4,2,9,8,8,0,0,0,9.971428571428572
332,1,1,17,3,7,12,14,14,1,0,0,9.971428571428572
333,1,1,18,2,0,7,0,0,0,0,0,9.971428571428572
334,1,1,18,2,0,8,8,0,0,1,0,9.971428571428572
335,1,1,18,4,0,10,9,0,0,0,0,9.971428571428572
336,1,1,17,3,16,16,15,15,1,0,0,9.971428571428572
337,1,1,19,3,12,14,13,13,1,0,0,9.971428571428572
338,1,1,17,2,0,7,8,0,0,0,0,9.971428571428572
339,1,1,18,4,7,16,15,17,1,0,0,9.971428571428572
340,1,1,17,2,4,9,10,10,1,0,0,9.971428571428572
341,1,1,19,3,4,11,12,11,1,0,0,9.971428571428572
342,1,2,18,2,0,10,10,0,0,0,0,9.971428571428572
343,1,2,18,2,11,16,15,15,1,0,0,9.971428571428572
344,1,1,17,2,0,9,8,0,0,0,0,9.971428571428572
345,1,1,18,3,4,11,10,10,1,0,0,9.971428571428572
346,1,1,18,3,7,13,13,14,1,0,1,9.971428571428572
347,1,2,18,3,9,16,15,16,1,0,0,9.971428571428572
348,1,2,18,3,0,10,10,9,0,0,0,9.971428571428572
349,1,1,17,3,0,13,15,15,1,1,0,9.971428571428572
350,2,2,18,1,10,11,13,13,1,0,0,9.2
351,2,2,19,2,8,8,7,8,0,0,0,9.2
352,2,2,17,2,2,13,13,13,1,0,0,9.2
353,2,2,18,1,7,8,7,8,0,0,0,9.2
354,2,2,19,1,4,8,8,8,0,0,0,9.2
355,2,2,17,2,4,13,11,11,1,0,0,9.2
356,2,1,18,2,0,10,9,9,0,0,0,9.2
357,2,1,17,2,4,12,13,13,1,0,0,9.2
358,2,1,17,2,2,12,12,11,1,0,0,9.2
359,2,2,18,1,4,10,10,10,1,0,0,9.2
360,2,1,18,3,0,18,16,16,1,0,0,9.2
361,2,1,18,2,0,13,13,13,1,0,0,9.2
362,2,2,18,2,2,13,12,12,1,0,0,9.2
363,2,1,18,2,0,11,11,10,1,0,1,9.2
364,2,1,17,2,0,16,15,15,1,0,0,9.2
365,2,1,17,2,0,12,11,12,1,1,0,9.2
366,2,2,18,2,4,10,10,10,1,0,0,9.2
367,2,2,18,3,0,13,13,13,1,0,0,9.2
368,2,1,17,1,0,7,6,0,0,0,0,9.2
369,2,1,18,1,0,11,10,10,1,0,0,9.2
370,2,1,18,2,10,14,12,11,1,0,0,9.2
371,2,1,19,2,4,7,7,9,0,0,0,9.2
372,2,2,18,1,3,14,12,12,1,0,0,9.2
373,2,1,17,3,8,13,11,11,1,0,0,9.2
374,2,1,17,1,14,6,5,5,0,0,0,9.2
375,2,1,18,3,0,19,18,19,1,0,0,9.2
376,2,1,18,3,2,8,8,10,1,0,0,9.2
377,2,1,20,3,4,15,14,15,1,0,1,9.2
378,2,1,18,2,4,8,9,10,1,0,0,9.2
379,2,1,18,2,0,15,15,15,1,0,0,9.2
380,2,1,17,2,17,10,10,10,1,0,0,9.2
381,2,2,18,2,4,15,14,14,1,0,0,9.2
382,2,2,18,1,5,7,6,7,0,0,0,9.2
383,2,2,17,2,2,11,11,10,1,0,0,9.2
384,2,2,19,1,0,6,5,0,0,0,0,9.2
385,2,2,18,1,14,6,5,5,0,0,0,9.2
386,2,1,18,3,2,10,9,10,1,0,0,9.2
387,2,1,18,1,7,6,5,6,0,1,0,9.2
388,2,1,19,3,0,7,5,0,0,0,1,9.2
389,2,1,18,2,0,7,9,8,0,0,1,9.2
390,2,1,18,2,0,6,5,0,0,0,0,9.2
391,2,2,20,2,11,9,9,9,0,0,0,9.2
392,2,2,17,1,3,14,16,16,1,0,1,9.2
393,2,2,21,1,3,10,8,7,0,0,0,9.2
394,2,2,18,1,0,11,12,10,1,0,0,9.2
395,2,2,19,1,5,8,9,9,0,0,0,9.2
