district_id,above_median_count,below_median_count,low_income_pct,asian_students_pct,black_students_pct,hispanic_students_pct,minority_teachers_pct,teacher_experience_years,teacher_salary_thousands,spending_per_pupil_thousands,pupil_teacher_ratio,college_prep_pct,charter_schools_pct,year_round_schools_pct,tested_count,above_median_rate,low_income_group,charter_group
27,541.0,718.0,30.07553,3.626196,10.50386,20.94431,8.66575,13.69108,62.3412,4.01139,23.88905,23.85445,0.0,72.22222,1259,0.42970611596505165,low,no_charter
28,86.0,104.0,28.24601,6.893424,19.81859,16.78005,12.7451,15.91555,59.17653,4.225738,22.18379,18.0,0.0,0.0,190,0.45263157894736844,low,no_charter
29,142.0,180.0,22.33375,2.523732,3.310952,14.03103,10.30928,16.15686,59.23072,4.114418,21.74332,34.42623,0.0,0.0,322,0.4409937888198758,low,no_charter
30,1365.0,1029.0,22.62465,7.697888,4.902207,16.77688,9.421586,15.32368,57.12858,3.928696,22.14162,37.63838,0.0,0.0,2394,0.5701754385964912,low,no_charter
31,201.0,447.0,51.78493,4.59893,27.79679,35.1016,30.02481,15.97489,58.78893,4.049181,22.873,85.11166,0.0,8.333333,648,0.3101851851851852,high,no_charter
32,585.0,1364.0,51.23848,13.02024,35.10118,25.52703,25.82688,17.18977,62.6641,4.347936,22.8705,36.5,0.0,8.474576,1949,0.3001539250897896,high,no_charter
33,1247.0,170.0,1.895322,9.925228,1.633719,4.276349,4.503464,15.92369,59.97694,4.035189,23.34687,50.74503,0.0,0.0,1417,0.8800282286520819,low,no_charter
34,165.0,238.0,42.51143,6.252442,0.410317,10.17976,8.076923,14.70948,58.23381,4.73328,20.67364,15.50388,0.0,0.0,403,0.4094292803970223,middle,no_charter
35,135.0,194.0,45.42344,1.501194,0.904128,26.2709,5.338078,14.35703,55.74014,4.323754,21.53458,86.722,0.0,0.0,329,0.41033434650455924,middle,no_charter
36,106.0,87.0,30.16965,0.797373,0.515948,2.251407,1.904762,14.23233,51.82237,4.030978,21.47295,32.45614,0.0,0.0,193,0.5492227979274611,low,no_charter
37,1496.0,771.0,23.43337,11.75065,2.871447,19.03101,15.94416,11.8789,53.15807,4.242702,22.70517,40.50633,0.0,0.0,2267,0.6599029554477283,low,no_charter
38,68.0,204.0,57.9224,0.871731,0.647572,68.74222,18.93491,11.19787,61.08544,4.258425,24.4786,14.83516,0.0,0.0,272,0.25,high,no_charter
39,55.0,89.0,60.59908,7.196613,0.84666,72.34243,24.7619,11.83632,51.53734,3.80779,21.07004,38.7931,0.0,0.0,144,0.3819444444444444,high,no_charter
40,1455.0,3563.0,62.01977,19.65177,11.31566,45.23962,23.40485,14.67996,61.0953,4.685643,22.25973,27.47559,0.0,31.11111,5018,0.2899561578318055,high,no_charter
41,84.0,112.0,35.60339,2.518757,0.375134,67.73848,7.913669,15.34516,54.70222,6.836694,21.14435,41.57895,71.42857,0.0,196,0.42857142857142855,middle,has_charter
42,136.0,481.0,63.17132,1.40625,0.600962,71.35817,16.79198,14.46149,55.18478,4.478657,22.25652,16.78657,0.0,6.25,617,0.22042139384116693,high,no_charter
43,6.0,58.0,72.91667,1.238739,0.563063,70.04505,3.921569,11.55763,39.72835,3.899132,18.23651,13.04348,0.0,0.0,64,0.09375,high,no_charter
44,21.0,168.0,91.60484,0.214362,0.107181,98.821,62.18487,11.92754,55.52729,4.223126,21.68654,13.38583,0.0,40.0,189,0.1111111111111111,high,no_charter
45,132.0,420.0,57.00249,4.322917,0.585938,70.66406,23.48066,14.00443,52.15526,4.382061,21.71153,23.02326,0.0,0.0,552,0.2391304347826087,high,no_charter
46,78.0,212.0,69.6452,3.972303,1.020408,76.71283,27.6,13.01188,53.53164,4.180037,22.50103,14.69194,0.0,0.0,290,0.2689655172413793,high,no_charter
47,16.0,130.0,87.83718,0.405405,1.216216,90.45045,32.40741,10.37561,51.40056,4.317728,20.49057,30.85106,0.0,0.0,146,0.1095890410958904,high,no_charter
48,211.0,374.0,49.25084,10.15299,7.874184,42.32374,16.53944,10.0809,54.56874,4.006118,22.59174,37.66667,0.0,76.92308,585,0.3606837606837607,middle,no_charter
49,82.0,192.0,69.49807,5.350028,0.313034,70.43256,22.64151,12.32314,54.54601,4.283101,22.15424,40.0,0.0,60.0,274,0.29927007299270075,high,no_charter
50,16.0,139.0,87.77725,0.533463,0.581959,97.76916,40.0,12.20753,60.30318,3.933777,25.6375,47.16981,0.0,0.0,155,0.1032258064516129,high,no_charter
51,35.0,109.0,86.54599,1.71371,0.201613,92.2379,26.08696,14.58066,62.75826,5.2428,21.72113,19.17808,0.0,0.0,144,0.24305555555555555,high,no_charter
52,90.0,53.0,21.60468,0.540541,0.29106,7.484407,1.526718,17.11242,62.52282,5.879966,19.48512,26.37363,0.0,0.0,143,0.6293706293706294,low,no_charter
53,23.0,44.0,64.85075,0.667111,3.068712,64.50967,14.92537,11.36918,47.73257,3.5119,21.48872,10.66667,0.0,0.0,67,0.34328358208955223,high,no_charter
54,76.0,62.0,53.125,21.75227,0.906344,20.74522,4.651163,15.73608,60.02066,4.325154,24.48113,47.11538,0.0,0.0,138,0.5507246376811594,high,no_charter
55,73.0,110.0,44.97466,1.348412,0.826446,33.18834,5.932203,16.25328,55.6538,4.602903,20.85538,49.19355,0.0,0.0,183,0.3989071038251366,middle,no_charter
56,38.0,50.0,76.32121,0.0,0.655977,2.842566,30.0,14.78554,65.66547,5.770566,19.64964,25.92593,0.0,0.0,88,0.4318181818181818,high,no_charter
57,23.0,86.0,33.91672,0.71475,1.169591,2.988954,0.0,15.79261,56.05594,4.427872,21.31544,44.70588,0.0,0.0,109,0.21100917431192662,middle,no_charter
58,40.0,19.0,11.71617,0.5,0.0,4.666667,0.0,15.5122,54.64567,4.893857,20.32154,34.14634,0.0,0.0,59,0.6779661016949152,low,no_charter
59,67.0,306.0,54.25667,0.518807,0.277932,80.21123,35.04274,14.95651,66.53025,4.304715,23.78075,33.89831,0.0,0.0,373,0.17962466487935658,high,no_charter
60,91.0,415.0,43.95482,1.432902,0.055112,97.51998,70.09967,14.58775,67.37006,4.266618,23.57191,15.82569,0.0,0.0,506,0.17984189723320157,middle,no_charter
61,36.0,62.0,74.30168,0.421941,5.555556,71.58931,40.57971,12.21709,53.51974,4.518243,20.625,29.41176,0.0,0.0,98,0.3673469387755102,high,no_charter
62,133.0,445.0,62.10008,1.554243,2.9427,82.64429,33.41289,15.2063,66.12509,4.453164,23.32139,31.30288,0.0,0.0,578,0.2301038062283737,high,no_charter
63,19.0,143.0,63.91804,0.399003,0.149626,70.47382,26.88172,11.60701,56.62257,4.245811,21.68514,32.14286,0.0,0.0,162,0.11728395061728394,high,no_charter
64,75.0,104.0,39.94452,0.749229,2.688409,60.77567,24.5283,9.224783,51.16703,3.708859,20.85687,34.92063,0.0,0.0,179,0.41899441340782123,middle,no_charter
65,4.0,46.0,76.8279,0.0,3.00578,31.09827,20.40816,15.31852,60.14108,5.355161,18.99177,19.35484,0.0,0.0,50,0.08,high,no_charter
66,126.0,44.0,25.58849,0.762389,0.508259,11.01228,5.454545,16.50992,59.80555,4.349222,23.45035,40.71856,0.0,0.0,170,0.7411764705882353,low,no_charter
67,104.0,446.0,68.64343,0.780814,1.728946,76.8879,31.81818,12.21163,58.86169,3.71492,25.99096,14.03509,0.0,0.0,550,0.1890909090909091,high,no_charter
68,45.0,142.0,40.599,1.107011,14.87085,24.53875,7.627119,15.24427,63.0422,4.572615,24.41998,32.48408,0.0,37.5,187,0.24064171122994651,middle,no_charter
69,75.0,92.0,31.86047,2.014723,12.43704,7.477722,9.848485,15.32667,63.498,5.767594,20.30722,32.8,0.0,0.0,167,0.4491017964071856,low,no_charter
70,68.0,151.0,49.35103,1.697439,8.219178,31.98332,9.45946,13.08426,58.1592,4.284445,23.427,15.49296,0.0,33.33333,219,0.3105022831050228,high,no_charter
71,58.0,135.0,51.46237,0.361248,0.755337,17.76683,2.739726,14.43697,62.6331,5.763701,21.05658,17.79141,0.0,0.0,193,0.3005181347150259,high,no_charter
72,156.0,168.0,24.99504,0.42042,2.722723,17.3974,4.524887,14.79,60.45509,4.308128,22.87165,29.72973,0.0,0.0,324,0.48148148148148145,low,no_charter
73,43.0,212.0,65.89027,0.471815,4.395332,78.91731,21.10092,14.93269,61.8039,4.139937,24.51174,14.01515,0.0,0.0,255,0.16862745098039217,high,no_charter
74,208.0,255.0,32.59873,2.233486,4.79962,10.89815,5.629139,14.35102,62.45315,4.537569,22.04157,38.66279,0.0,0.0,463,0.44924406047516197,middle,no_charter
75,18.0,182.0,81.96457,0.311527,0.233645,92.01713,31.89655,13.13246,55.36986,4.428046,22.50856,23.68421,0.0,0.0,200,0.09,high,no_charter
76,47.0,44.0,37.83202,0.358423,0.860215,13.69176,8.333333,10.38143,55.94207,4.098994,24.92174,0.0,0.0,0.0,91,0.5164835164835165,middle,no_charter
77,45.0,152.0,64.27918,0.463822,4.050711,79.37539,17.36111,15.31545,66.4042,4.605861,22.67635,15.58442,0.0,0.0,197,0.22842639593908629,high,no_charter
78,14.0,147.0,86.49362,0.0,0.734095,89.96737,15.59633,11.06066,57.64157,4.543492,21.75277,26.19048,0.0,0.0,161,0.08695652173913043,high,no_charter
79,91.0,74.0,45.5702,0.954199,1.335878,22.08969,7.207207,14.75781,54.0406,4.83232,20.08333,50.9434,0.0,0.0,165,0.5515151515151515,middle,no_charter
80,52.0,154.0,73.609,0.829611,5.966816,9.60434,6.329114,13.7825,54.43995,4.354388,20.6129,10.60606,0.0,100.0,206,0.2524271844660194,high,no_charter
81,85.0,62.0,46.29523,0.659703,1.869159,15.66795,3.448276,15.13131,58.96214,4.361361,21.41705,28.42105,0.0,0.0,147,0.5782312925170068,middle,no_charter
82,77.0,39.0,26.79575,0.723764,0.361882,8.685163,1.204819,11.29516,50.09641,3.93239,19.15049,40.69767,0.0,0.0,116,0.6637931034482759,low,no_charter
83,23.0,38.0,52.91709,1.732926,2.85423,8.25688,6.25,14.98707,59.9954,5.022533,21.89956,37.70492,0.0,0.0,61,0.3770491803278688,high,no_charter
84,8.0,35.0,41.9708,0.0,0.571429,9.142857,3.030303,17.90429,55.17685,5.259958,18.96552,18.18182,0.0,0.0,43,0.18604651162790697,middle,no_charter
85,879.0,720.0,30.50552,32.46542,10.40141,32.6598,36.00406,15.25756,59.28909,4.219665,22.57679,49.73262,0.0,3.333333,1599,0.549718574108818,low,no_charter
86,640.0,131.0,8.362214,52.59396,1.21304,9.888444,8.900524,15.98201,64.41547,4.166218,24.2746,60.84011,0.0,27.27273,771,0.8300907911802854,low,no_charter
87,200.0,600.0,70.73827,0.959561,3.152844,78.94106,25.95573,14.49885,64.61103,4.379243,23.98186,19.42446,0.0,11.11111,800,0.25,high,no_charter
88,268.0,761.0,62.87168,4.72375,1.793829,85.46998,27.21202,15.06211,67.83996,3.819118,27.50542,26.77165,0.0,0.0,1029,0.26044703595724006,high,no_charter
89,108.0,291.0,79.6766,2.102924,2.102924,89.14344,45.6,14.39982,62.08461,4.432065,23.55966,20.98765,0.0,0.0,399,0.2706766917293233,high,no_charter
90,260.0,667.0,49.17215,5.575448,18.15857,38.48009,12.27437,13.04228,58.55052,3.988183,23.88522,17.99729,0.0,7.142857,927,0.28047464940668826,middle,no_charter
91,346.0,71.0,9.733488,10.93985,3.571429,4.097744,10.81967,18.2,62.45576,6.015758,17.72469,61.88437,0.0,0.0,417,0.829736211031175,low,no_charter
92,426.0,378.0,25.84395,5.866005,4.823821,27.58313,9.501188,16.89201,62.02176,4.054136,24.11424,51.76471,0.0,0.0,804,0.5298507462686567,low,no_charter
93,436.0,556.0,37.6798,5.688124,2.774695,36.95893,13.16667,14.46938,62.40043,4.138196,23.95766,32.4291,0.0,5.263158,992,0.43951612903225806,middle,no_charter
94,209.0,255.0,23.9477,5.265554,4.871017,36.61608,11.76471,15.32254,61.53467,4.024875,24.12297,38.72549,0.0,0.0,464,0.4504310344827586,low,no_charter
95,338.0,145.0,20.80702,10.11185,12.00121,20.87364,11.70886,13.90775,61.44766,4.401148,21.54203,53.16973,0.0,0.0,483,0.6997929606625258,low,no_charter
96,450.0,508.0,37.64495,8.548446,5.798903,50.82998,14.25993,13.90046,62.29003,4.265807,24.2564,42.08443,0.0,0.0,958,0.4697286012526096,middle,no_charter
97,144.0,244.0,33.51168,10.20237,17.91269,36.81218,18.65079,15.38502,62.13202,4.282612,22.95729,41.17647,0.0,0.0,388,0.3711340206185567,middle,no_charter
98,538.0,774.0,42.84095,5.595576,4.80418,63.33705,14.59948,12.29348,64.63193,3.979219,25.1415,23.26733,0.0,0.0,1312,0.4100609756097561,middle,no_charter
99,71.0,202.0,61.40009,2.775971,13.20755,61.96053,30.0,16.06842,59.30374,4.179698,25.22527,15.01597,0.0,0.0,273,0.2600732600732601,high,no_charter
100,130.0,552.0,68.0851,0.683527,0.580998,94.48052,51.81452,16.27428,65.653,4.338243,22.49503,33.67003,0.0,0.0,682,0.1906158357771261,high,no_charter
101,125.0,87.0,13.80008,6.320789,3.397881,14.8703,4.761905,11.92766,57.36205,4.718115,21.28874,38.99371,0.0,0.0,212,0.589622641509434,low,no_charter
102,1326.0,1001.0,50.67402,12.12724,1.119947,23.8668,12.23958,13.22109,73.039,4.224937,26.6702,26.38655,0.0,34.48276,2327,0.5698324022346368,high,no_charter
103,339.0,245.0,14.82624,4.119138,1.292776,16.56527,6.329114,14.99266,63.78461,4.13035,24.90064,33.6,0.0,0.0,584,0.5804794520547946,low,no_charter
104,222.0,889.0,69.00829,0.192555,43.09138,55.36819,63.43907,15.01983,63.04099,3.74833,27.40275,38.88889,0.0,57.89474,1111,0.1998199819981998,high,no_charter
105,287.0,39.0,1.421801,26.20056,0.541431,3.060264,8.205128,15.02579,63.79163,4.705506,21.59624,66.18182,0.0,0.0,326,0.8803680981595092,low,no_charter
106,671.0,157.0,2.971741,7.57133,1.366449,4.975937,7.024793,17.00701,64.74985,4.41405,24.23913,60.62323,0.0,0.0,828,0.8103864734299517,low,no_charter
107,1930.0,3747.0,64.2387,14.16632,20.33687,40.48983,29.10875,13.3098,59.29818,4.210309,22.98312,41.37823,2.325581,19.76744,5677,0.33996829311255944,high,has_charter
108,9324.0,29528.0,73.18394,4.308746,13.79525,68.52417,45.46139,20.54574,73.07307,4.365276,23.42095,49.30618,2.321981,32.19814,38852,0.23998764542365902,high,has_charter
109,113.0,826.0,59.29694,0.224649,12.05616,86.5273,52.48714,15.79301,67.06302,4.064954,27.05961,15.08475,0.0,50.0,939,0.12034078807241747,high,no_charter
110,144.0,257.0,56.89858,1.915122,14.06465,48.07722,17.54386,14.42588,57.1933,4.017302,22.55472,25.94752,0.0,11.11111,401,0.35910224438902744,high,no_charter
111,377.0,1716.0,75.0343,4.879927,0.447129,90.5185,59.52981,16.92341,67.60591,3.810285,27.99578,28.54167,0.0,25.0,2093,0.18012422360248448,high,no_charter
112,388.0,1048.0,44.02203,4.939493,5.01597,62.97629,29.22002,15.62108,60.66556,3.616505,25.62582,21.50866,0.0,7.142857,1436,0.27019498607242337,middle,no_charter
113,597.0,81.0,1.943602,30.02693,1.723209,3.941842,7.474227,18.94287,59.82121,3.946788,24.11441,89.13043,0.0,0.0,678,0.8805309734513275,low,no_charter
114,185.0,903.0,58.22835,1.78362,14.61458,75.7082,35.24845,11.80146,63.19071,4.370215,24.5058,5.430712,0.0,73.33333,1088,0.17003676470588236,high,no_charter
115,365.0,987.0,61.8811,2.22193,32.00543,47.11193,42.18415,14.27299,64.58404,4.443599,23.86713,39.65517,0.0,0.0,1352,0.26997041420118345,high,no_charter
116,575.0,1408.0,73.5053,6.393463,11.23378,71.20447,48.69857,16.68337,65.62877,4.007186,26.04422,8.27719,0.0,23.68421,1983,0.28996469994957136,high,no_charter
117,246.0,19.0,0.26534,63.20234,0.487171,3.345242,6.944444,15.90786,57.54338,4.619277,22.17736,78.1893,0.0,0.0,265,0.9283018867924528,low,no_charter
118,429.0,324.0,26.09065,5.531472,8.617999,27.07647,22.2664,15.874,65.96343,5.06335,22.31528,65.10638,0.0,0.0,753,0.5697211155378487,low,no_charter
119,234.0,66.0,11.67883,32.08936,4.467806,18.21288,13.01775,16.19645,61.16962,4.043499,22.99094,64.07407,0.0,0.0,300,0.78,low,no_charter
120,237.0,139.0,27.32198,38.10775,1.445466,20.36794,7.359307,13.7875,59.4173,4.035891,23.64895,31.56499,0.0,0.0,376,0.6303191489361702,low,no_charter
121,1108.0,624.0,17.70193,28.47688,3.996755,15.8333,19.65726,13.31861,59.55529,3.822103,23.78323,45.95661,0.0,0.0,1732,0.6397228637413395,low,no_charter
122,194.0,433.0,47.30717,9.43911,9.122654,58.16237,17.52022,13.90339,56.84137,3.907338,24.42266,29.06178,0.0,0.0,627,0.3094098883572568,middle,no_charter
123,258.0,1585.0,78.42391,0.054539,35.72962,62.92736,80.17493,14.79315,58.99142,3.743125,28.09997,41.78905,0.0,2.564103,1843,0.13998914812805208,high,no_charter
124,609.0,1038.0,40.23607,16.39995,2.539347,67.97602,28.90365,17.39357,62.3253,4.103139,25.05607,38.67849,0.0,0.0,1647,0.3697632058287796,middle,no_charter
125,606.0,607.0,33.85063,18.78119,6.688608,55.35089,29.18239,16.1731,62.27731,4.369675,24.44574,30.26188,0.0,0.0,1213,0.49958779884583676,middle,no_charter
126,831.0,340.0,6.196674,42.31389,5.721689,18.18054,17.73649,14.82445,60.55524,3.98278,24.25086,57.78547,0.0,0.0,1171,0.7096498719043552,low,no_charter
127,185.0,134.0,53.4557,36.40237,1.889589,43.47907,22.06573,14.12308,57.66326,3.814974,23.16667,0.0,11.11111,0.0,319,0.5799373040752351,high,has_charter
128,109.0,83.0,28.17235,1.443203,1.722533,11.91806,7.446809,11.72804,58.88017,3.806893,24.82222,0.0,0.0,0.0,192,0.5677083333333334,low,no_charter
129,242.0,57.0,7.197273,7.00382,1.819174,8.659269,7.936508,15.21719,64.22489,5.093928,21.58711,43.08943,0.0,0.0,299,0.8093645484949833,low,no_charter
130,298.0,191.0,25.63993,7.277444,5.188422,23.18405,10.24845,16.50521,68.09637,5.006776,22.47522,51.54062,0.0,0.0,489,0.6094069529652352,low,no_charter
131,48.0,111.0,59.28721,0.941378,2.524604,41.63457,6.666667,12.20542,53.26582,3.87324,23.55149,25.40984,0.0,0.0,159,0.3018867924528302,high,no_charter
132,362.0,768.0,60.0239,1.152145,3.543626,67.3538,26.82927,14.05485,56.27459,4.064557,23.45833,31.99405,0.0,45.0,1130,0.32035398230088497,high,no_charter
133,412.0,152.0,14.79229,4.893837,2.770585,11.10823,3.562341,16.62018,53.79499,4.365513,20.39636,48.08511,6.25,12.5,564,0.7304964539007093,low,has_charter
134,144.0,133.0,34.76768,7.884136,5.198542,36.17878,8.536585,15.19114,53.33638,4.458969,20.96682,53.59281,0.0,0.0,277,0.51985559566787,middle,no_charter
135,28.0,24.0,0.0,0.480192,0.480192,28.69148,7.407407,13.72615,60.9925,6.459384,16.40535,26.0,0.0,0.0,52,0.5384615384615384,low,no_charter
136,112.0,113.0,27.00072,0.511322,0.292184,6.208912,1.459854,15.59845,51.69282,4.183603,21.53846,29.80132,0.0,0.0,225,0.49777777777777776,low,no_charter
137,21.0,17.0,55.9322,0.840336,1.344538,45.37815,0.0,12.756,48.85596,6.406862,14.31604,44.73684,0.0,0.0,38,0.5526315789473685,high,no_charter
138,98.0,90.0,37.29968,1.162791,0.415282,19.68439,2.272727,17.13074,56.33678,4.990487,19.47287,25.89928,0.0,0.0,188,0.5212765957446809,middle,no_charter
139,240.0,249.0,46.92754,0.969469,1.114166,22.81869,4.848485,17.4015,64.53571,4.838431,21.34488,33.33333,0.0,36.36364,489,0.49079754601226994,middle,no_charter
140,67.0,104.0,46.53846,0.846154,0.692308,11.57692,2.985075,17.472,56.56813,4.611976,20.82808,26.38037,0.0,0.0,171,0.391812865497076,middle,no_charter
141,13.0,20.0,56.33117,0.517241,0.689655,3.965517,4.651163,12.49787,48.8676,6.578053,15.73298,34.21053,0.0,0.0,33,0.3939393939393939,high,no_charter
142,60.0,123.0,37.78899,1.586639,0.292276,17.32777,11.71171,13.41706,58.10255,4.361619,22.78612,20.8,0.0,16.66667,183,0.32786885245901637,middle,no_charter
143,14.0,34.0,41.43167,0.915565,0.0,84.13021,25.5814,12.77143,55.70923,4.140527,22.18527,24.74227,0.0,0.0,48,0.2916666666666667,middle,no_charter
144,123.0,332.0,50.92824,1.244953,4.862046,53.17968,12.1673,12.07816,55.07462,4.075188,21.77028,33.93502,0.0,50.0,455,0.2703296703296703,high,no_charter
145,23.0,85.0,52.40793,0.614335,0.955631,50.44369,8.333333,11.98961,53.6099,4.080966,21.15774,49.27536,0.0,0.0,108,0.21296296296296297,high,no_charter
146,33.0,148.0,60.91821,0.156801,6.31125,61.70129,15.44118,11.49135,54.8027,4.750999,18.81218,19.59459,0.0,0.0,181,0.18232044198895028,high,no_charter
147,37.0,57.0,33.27773,0.75,0.75,10.41667,1.612903,11.68088,55.85474,4.786679,19.22953,32.78689,0.0,0.0,94,0.39361702127659576,middle,no_charter
148,19.0,28.0,64.85084,0.0,0.0,52.38095,4.761905,12.95532,50.84007,4.851063,18.40095,45.71429,0.0,0.0,47,0.40425531914893614,high,no_charter
149,24.0,16.0,45.93373,0.310078,0.775194,14.10853,2.222222,14.03431,52.32031,6.283433,14.6697,76.92308,0.0,0.0,40,0.6,middle,no_charter
150,45.0,48.0,21.84007,0.582848,0.083264,21.81515,4.83871,14.98485,60.15944,4.806483,20.59423,42.85714,0.0,0.0,93,0.4838709677419355,low,no_charter
151,149.0,52.0,10.70682,2.977162,1.305057,7.544861,4.8,17.29423,69.88739,5.676651,20.67854,55.92105,0.0,0.0,201,0.7412935323383084,low,no_charter
152,255.0,518.0,40.13453,8.813424,15.63724,25.22573,17.65705,19.47192,61.01163,4.496243,20.60704,28.90792,0.0,95.2381,773,0.3298835705045278,middle,no_charter
153,105.0,49.0,14.27955,4.711581,1.893439,7.089388,2.941176,17.54195,63.90955,4.756384,22.6321,48.17518,0.0,0.0,154,0.6818181818181818,low,no_charter
154,107.0,250.0,40.66667,1.844262,1.285395,49.23621,20.1581,14.68534,56.61921,4.356072,21.57957,60.59783,0.0,0.0,357,0.29971988795518206,middle,no_charter
155,60.0,103.0,67.26937,0.273879,0.410818,86.51147,24.19355,11.88684,58.89312,4.200852,24.90864,11.30435,0.0,0.0,163,0.36809815950920244,high,no_charter
156,21.0,40.0,45.67023,0.682594,0.341297,47.09898,4.545455,13.51122,54.34489,4.650725,20.97387,50.0,0.0,0.0,61,0.3442622950819672,middle,no_charter
157,587.0,611.0,32.70906,1.396074,1.776254,26.488,6.388527,15.47587,54.78513,3.912949,21.83841,29.25258,3.333333,0.0,1198,0.48998330550918195,middle,has_charter
158,58.0,54.0,34.43425,0.738007,0.430504,37.45387,14.63415,15.64778,51.43444,4.386959,21.20205,44.14414,0.0,0.0,112,0.5178571428571429,middle,no_charter
