id,g1,g3,source_line,difference
149,7,0,150,-7
150,8,10,151,2
151,6,0,152,-6
152,12,14,153,2
153,10,10,154,0
154,5,0,155,-5
155,11,12,156,1
156,11,8,157,-3
157,16,13,158,-3
158,9,10,159,1
159,17,15,160,-2
160,10,12,161,2
161,7,0,162,-7
162,5,7,163,2
163,7,0,164,-7
164,10,10,165,0
165,5,7,166,2
166,12,12,167,0
167,10,10,168,0
168,14,16,169,2
169,6,0,170,-6
170,14,14,171,0
171,6,0,172,-6
172,13,16,173,3
173,13,10,174,-3
174,8,0,175,-8
175,10,9,176,-1
176,10,9,177,-1
177,13,11,178,-2
178,6,6,179,0
179,10,9,180,-1
180,10,11,181,1
181,9,8,182,-1
182,12,12,183,0
183,16,17,184,1
184,9,8,185,-1
185,12,12,186,0
186,12,11,187,-1
187,11,11,188,0
188,15,15,189,0
189,8,9,190,1
190,8,10,191,2
191,11,13,192,2
192,8,9,193,1
193,7,8,194,1
194,8,10,195,2
195,13,14,196,1
196,14,15,197,1
197,17,16,198,-1
198,9,10,199,1
199,18,18,200,0
200,9,10,201,1
201,16,16,202,0
202,8,10,203,2
203,9,10,204,1
204,7,6,205,-1
205,10,11,206,1
206,10,9,207,-1
207,7,7,208,0
208,11,13,209,2
209,9,10,210,1
210,7,7,211,0
211,8,8,212,0
212,12,13,213,1
213,12,14,214,2
214,6,8,215,2
215,8,10,216,2
216,14,15,217,1
217,6,4,218,-2
218,6,8,219,2
219,7,8,220,1
220,9,10,221,1
221,6,6,222,0
222,6,0,223,-6
223,16,17,224,1
224,12,13,225,1
225,13,14,226,1
226,9,7,227,-2
227,16,15,228,-1
228,12,12,229,0
229,10,9,230,-1
230,12,12,231,0
231,13,14,232,1
232,11,11,233,0
233,11,9,234,-2
234,14,13,235,-1
235,9,6,236,-3
236,11,10,237,-1
237,14,13,238,-1
238,13,12,239,-1
239,13,11,240,-2
240,7,0,241,-7
241,12,12,242,0
242,10,12,243,2
243,6,0,244,-6
244,13,12,245,-1
245,7,0,246,-7
246,18,18,247,0
247,12,13,248,1
248,6,8,249,2
249,3,5,250,2
250,13,15,251,2
251,6,8,252,2
252,7,10,253,3
253,6,8,254,2
254,8,8,255,0
255,8,12,256,4
256,7,8,257,1
257,14,13,258,-1
258,11,11,259,0
259,15,14,260,-1
260,10,0,261,-10
261,17,18,262,1
262,8,8,263,0
263,13,12,264,-1
264,10,9,265,-1
265,9,0,266,-9
266,17,17,267,0
267,9,10,268,1
268,12,11,269,-1
269,10,10,270,0
270,6,0,271,-6
271,9,9,272,0
272,15,14,273,-1
273,11,11,274,0
274,15,14,275,-1
275,10,10,276,0
276,12,12,277,0
277,10,9,278,-1
278,9,9,279,0
279,9,8,280,-1
280,10,10,281,0
281,8,8,282,0
282,11,10,283,-1
283,12,12,284,0
284,8,10,285,2
285,10,11,286,1
286,12,11,287,-1
287,18,19,288,1
288,13,12,289,-1
289,15,14,290,-1
290,15,15,291,0
291,12,11,292,-1
292,15,15,293,0
293,12,13,294,1
294,18,18,295,0
295,14,14,296,0
296,14,11,297,-3
297,10,0,298,-10
298,10,8,299,-2
299,14,14,300,0
300,16,16,301,0
301,12,11,302,-1
302,11,10,303,-1
303,15,14,304,-1
304,17,18,305,1
305,15,13,306,-2
306,14,12,307,-2
307,17,18,308,1
308,8,8,309,0
309,15,12,310,-3
310,12,10,311,-2
311,9,0,312,-9
312,14,13,313,-1
313,13,11,314,-2
314,13,11,315,-2
315,15,13,316,-2
316,13,11,317,-2
317,8,0,318,-8
318,9,9,319,0
319,11,10,320,-1
320,11,11,321,0
321,13,13,322,0
322,11,9,323,-2
323,11,11,324,0
324,12,15,325,3
325,16,15,326,-1
326,9,11,327,2
327,14,16,328,2
328,11,10,329,-1
329,10,9,330,-1
330,14,14,331,0
331,9,8,332,-1
332,12,14,333,2
333,7,0,334,-7
334,8,0,335,-8
335,10,0,336,-10
336,16,15,337,-1
337,14,13,338,-1
338,7,0,339,-7
339,16,17,340,1
340,9,10,341,1
341,11,11,342,0
342,10,0,343,-10
343,16,15,344,-1
344,9,0,345,-9
345,11,10,346,-1
346,13,14,347,1
347,16,16,348,0
348,10,9,349,-1
349,13,15,350,2
350,11,13,351,2
351,8,8,352,0
352,13,13,353,0
353,8,8,354,0
354,8,8,355,0
355,13,11,356,-2
356,10,9,357,-1
357,12,13,358,1
358,12,11,359,-1
359,10,10,360,0
360,18,16,361,-2
361,13,13,362,0
362,13,12,363,-1
363,11,10,364,-1
364,16,15,365,-1
365,12,12,366,0
366,10,10,367,0
367,13,13,368,0
368,7,0,369,-7
369,11,10,370,-1
370,14,11,371,-3
371,7,9,372,2
372,14,12,373,-2
373,13,11,374,-2
374,6,5,375,-1
375,19,19,376,0
376,8,10,377,2
377,15,15,378,0
378,8,10,379,2
379,15,15,380,0
380,10,10,381,0
381,15,14,382,-1
382,7,7,383,0
383,11,10,384,-1
384,6,0,385,-6
385,6,5,386,-1
386,10,10,387,0
387,6,6,388,0
388,7,0,389,-7
389,7,8,390,1
390,6,0,391,-6
391,9,9,392,0
392,14,16,393,2
393,10,7,394,-3
394,11,10,395,-1
395,8,9,396,1
