sira,ind1,ind2,ind3,ind4,ind5
157,1,2,2,2,2
158,1,2,2,2,3
159,1,2,2,2,4
160,1,2,2,2,5
161,1,2,2,3,1
162,1,2,2,3,2
163,1,2,2,3,3
164,1,2,2,3,4
165,1,2,2,3,5
166,1,2,2,4,1
167,1,2,2,4,2
168,1,2,2,4,3
169,1,2,2,4,4
170,1,2,2,4,5
171,1,2,2,5,1
172,1,2,2,5,2
173,1,2,2,5,3
174,1,2,2,5,4
175,1,2,2,5,5
176,1,2,3,1,1
177,1,2,3,1,2
178,1,2,3,1,3
179,1,2,3,1,4
180,1,2,3,1,5
181,1,2,3,2,1
182,1,2,3,2,2
183,1,2,3,2,3
184,1,2,3,2,4
185,1,2,3,2,5
186,1,2,3,3,1
187,1,2,3,3,2
188,1,2,3,3,3
189,1,2,3,3,4
190,1,2,3,3,5
191,1,2,3,4,1
192,1,2,3,4,2
193,1,2,3,4,3
194,1,2,3,4,4
195,1,2,3,4,5
196,1,2,3,5,1
197,1,2,3,5,2
198,1,2,3,5,3
199,1,2,3,5,4
200,1,2,3,5,5
201,1,2,4,1,1
202,1,2,4,1,2
203,1,2,4,1,3
204,1,2,4,1,4
205,1,2,4,1,5
206,1,2,4,2,1
207,1,2,4,2,2
208,1,2,4,2,3
209,1,2,4,2,4
210,1,2,4,2,5
211,1,2,4,3,1
212,1,2,4,3,2
213,1,2,4,3,3
214,1,2,4,3,4
215,1,2,4,3,5
216,1,2,4,4,1
217,1,2,4,4,2
218,1,2,4,4,3
219,1,2,4,4,4
220,1,2,4,4,5
221,1,2,4,5,1
222,1,2,4,5,2
223,1,2,4,5,3
224,1,2,4,5,4
225,1,2,4,5,5
226,1,2,5,1,1
227,1,2,5,1,2
228,1,2,5,1,3
229,1,2,5,1,4
230,1,2,5,1,5
231,1,2,5,2,1
232,1,2,5,2,2
233,1,2,5,2,3
234,1,2,5,2,4
235,1,2,5,2,5
236,1,2,5,3,1
237,1,2,5,3,2
238,1,2,5,3,3
239,1,2,5,3,4
240,1,2,5,3,5
241,1,2,5,4,1
242,1,2,5,4,2
243,1,2,5,4,3
244,1,2,5,4,4
245,1,2,5,4,5
246,1,2,5,5,1
247,1,2,5,5,2
248,1,2,5,5,3
249,1,2,5,5,4
250,1,2,5,5,5
251,1,3,1,1,1
252,1,3,1,1,2
253,1,3,1,1,3
254,1,3,1,1,4
255,1,3,1,1,5
256,1,3,1,2,1
257,1,3,1,2,2
258,1,3,1,2,3
259,1,3,1,2,4
260,1,3,1,2,5
261,1,3,1,3,1
262,1,3,1,3,2
263,1,3,1,3,3
264,1,3,1,3,4
265,1,3,1,3,5
266,1,3,1,4,1
267,1,3,1,4,2
268,1,3,1,4,3
269,1,3,1,4,4
270,1,3,1,4,5
271,1,3,1,5,1
272,1,3,1,5,2
273,1,3,1,5,3
274,1,3,1,5,4
275,1,3,1,5,5
276,1,3,2,1,1
277,1,3,2,1,2
278,1,3,2,1,3
279,1,3,2,1,4
280,1,3,2,1,5
281,1,3,2,2,1
282,1,3,2,2,2
283,1,3,2,2,3
284,1,3,2,2,4
285,1,3,2,2,5
286,1,3,2,3,1
287,1,3,2,3,2
288,1,3,2,3,3
289,1,3,2,3,4
290,1,3,2,3,5
291,1,3,2,4,1
292,1,3,2,4,2
293,1,3,2,4,3
294,1,3,2,4,4
295,1,3,2,4,5
296,1,3,2,5,1
297,1,3,2,5,2
298,1,3,2,5,3
299,1,3,2,5,4
300,1,3,2,5,5
301,1,3,3,1,1
302,1,3,3,1,2
303,1,3,3,1,3
304,1,3,3,1,4
305,1,3,3,1,5
306,1,3,3,2,1
307,1,3,3,2,2
308,1,3,3,2,3
309,1,3,3,2,4
310,1,3,3,2,5
311,1,3,3,3,1
312,1,3,3,3,2
313,1,3,3,3,3
314,1,3,3,3,4
315,1,3,3,3,5
316,1,3,3,4,1
317,1,3,3,4,2
318,1,3,3,4,3
319,1,3,3,4,4
320,1,3,3,4,5
321,1,3,3,5,1
322,1,3,3,5,2
323,1,3,3,5,3
324,1,3,3,5,4
325,1,3,3,5,5
326,1,3,4,1,1
327,1,3,4,1,2
328,1,3,4,1,3
329,1,3,4,1,4
330,1,3,4,1,5
331,1,3,4,2,1
332,1,3,4,2,2
333,1,3,4,2,3
334,1,3,4,2,4
335,1,3,4,2,5
336,1,3,4,3,1
337,1,3,4,3,2
338,1,3,4,3,3
339,1,3,4,3,4
340,1,3,4,3,5
341,1,3,4,4,1
342,1,3,4,4,2
343,1,3,4,4,3
344,1,3,4,4,4
345,1,3,4,4,5
346,1,3,4,5,1
347,1,3,4,5,2
348,1,3,4,5,3
349,1,3,4,5,4
350,1,3,4,5,5
351,1,3,5,1,1
352,1,3,5,1,2
353,1,3,5,1,3
354,1,3,5,1,4
355,1,3,5,1,5
356,1,3,5,2,1
357,1,3,5,2,2
358,1,3,5,2,3
359,1,3,5,2,4
360,1,3,5,2,5
361,1,3,5,3,1
362,1,3,5,3,2
363,1,3,5,3,3
364,1,3,5,3,4
365,1,3,5,3,5
366,1,3,5,4,1
367,1,3,5,4,2
368,1,3,5,4,3
369,1,3,5,4,4
370,1,3,5,4,5
371,1,3,5,5,1
372,1,3,5,5,2
373,1,3,5,5,3
374,1,3,5,5,4
375,1,3,5,5,5
376,1,4,1,1,1
377,1,4,1,1,2
378,1,4,1,1,3
379,1,4,1,1,4
380,1,4,1,1,5
381,1,4,1,2,1
382,1,4,1,2,2
383,1,4,1,2,3
384,1,4,1,2,4
385,1,4,1,2,5
386,1,4,1,3,1
387,1,4,1,3,2
388,1,4,1,3,3
389,1,4,1,3,4
390,1,4,1,3,5
391,1,4,1,4,1
392,1,4,1,4,2
393,1,4,1,4,3
394,1,4,1,4,4
395,1,4,1,4,5
396,1,4,1,5,1
397,1,4,1,5,2
398,1,4,1,5,3
399,1,4,1,5,4
400,1,4,1,5,5
401,1,4,2,1,1
402,1,4,2,1,2
403,1,4,2,1,3
404,1,4,2,1,4
405,1,4,2,1,5
406,1,4,2,2,1
407,1,4,2,2,2
408,1,4,2,2,3
409,1,4,2,2,4
410,1,4,2,2,5
411,1,4,2,3,1
412,1,4,2,3,2
413,1,4,2,3,3
414,1,4,2,3,4
415,1,4,2,3,5
416,1,4,2,4,1
417,1,4,2,4,2
418,1,4,2,4,3
419,1,4,2,4,4
420,1,4,2,4,5
421,1,4,2,5,1
422,1,4,2,5,2
423,1,4,2,5,3
424,1,4,2,5,4
425,1,4,2,5,5
426,1,4,3,1,1
427,1,4,3,1,2
428,1,4,3,1,3
429,1,4,3,1,4
430,1,4,3,1,5
431,1,4,3,2,1
432,1,4,3,2,2
433,1,4,3,2,3
434,1,4,3,2,4
435,1,4,3,2,5
436,1,4,3,3,1
437,1,4,3,3,2
438,1,4,3,3,3
439,1,4,3,3,4
440,1,4,3,3,5
441,1,4,3,4,1
442,1,4,3,4,2
443,1,4,3,4,3
444,1,4,3,4,4
445,1,4,3,4,5
446,1,4,3,5,1
447,1,4,3,5,2
448,1,4,3,5,3
449,1,4,3,5,4
450,1,4,3,5,5
451,1,4,4,1,1
452,1,4,4,1,2
453,1,4,4,1,3
454,1,4,4,1,4
455,1,4,4,1,5
456,1,4,4,2,1
457,1,4,4,2,2
458,1,4,4,2,3
459,1,4,4,2,4
460,1,4,4,2,5
461,1,4,4,3,1
462,1,4,4,3,2
463,1,4,4,3,3
464,1,4,4,3,4
465,1,4,4,3,5
466,1,4,4,4,1
467,1,4,4,4,2
468,1,4,4,4,3
469,1,4,4,4,4
470,1,4,4,4,5
471,1,4,4,5,1
472,1,4,4,5,2
473,1,4,4,5,3
474,1,4,4,5,4
475,1,4,4,5,5
476,1,4,5,1,1
477,1,4,5,1,2
478,1,4,5,1,3
479,1,4,5,1,4
480,1,4,5,1,5
481,1,4,5,2,1
482,1,4,5,2,2
483,1,4,5,2,3
484,1,4,5,2,4
485,1,4,5,2,5
486,1,4,5,3,1
487,1,4,5,3,2
488,1,4,5,3,3
489,1,4,5,3,4
490,1,4,5,3,5
491,1,4,5,4,1
492,1,4,5,4,2
493,1,4,5,4,3
494,1,4,5,4,4
495,1,4,5,4,5
496,1,4,5,5,1
497,1,4,5,5,2
498,1,4,5,5,3
499,1,4,5,5,4
500,1,4,5,5,5
501,1,5,1,1,1
502,1,5,1,1,2
503,1,5,1,1,3
504,1,5,1,1,4
505,1,5,1,1,5
506,1,5,1,2,1
507,1,5,1,2,2
508,1,5,1,2,3
509,1,5,1,2,4
510,1,5,1,2,5
511,1,5,1,3,1
512,1,5,1,3,2
513,1,5,1,3,3
514,1,5,1,3,4
515,1,5,1,3,5
516,1,5,1,4,1
517,1,5,1,4,2
518,1,5,1,4,3
519,1,5,1,4,4
520,1,5,1,4,5
521,1,5,1,5,1
522,1,5,1,5,2
523,1,5,1,5,3
524,1,5,1,5,4
525,1,5,1,5,5
526,1,5,2,1,1
527,1,5,2,1,2
528,1,5,2,1,3
529,1,5,2,1,4
530,1,5,2,1,5
531,1,5,2,2,1
532,1,5,2,2,2
533,1,5,2,2,3
534,1,5,2,2,4
535,1,5,2,2,5
536,1,5,2,3,1
537,1,5,2,3,2
538,1,5,2,3,3
539,1,5,2,3,4
540,1,5,2,3,5
541,1,5,2,4,1
542,1,5,2,4,2
543,1,5,2,4,3
544,1,5,2,4,4
545,1,5,2,4,5
546,1,5,2,5,1
547,1,5,2,5,2
548,1,5,2,5,3
549,1,5,2,5,4
550,1,5,2,5,5
551,1,5,3,1,1
552,1,5,3,1,2
553,1,5,3,1,3
554,1,5,3,1,4
555,1,5,3,1,5
556,1,5,3,2,1
557,1,5,3,2,2
558,1,5,3,2,3
559,1,5,3,2,4
560,1,5,3,2,5
561,1,5,3,3,1
562,1,5,3,3,2
563,1,5,3,3,3
564,1,5,3,3,4
565,1,5,3,3,5
566,1,5,3,4,1
567,1,5,3,4,2
568,1,5,3,4,3
569,1,5,3,4,4
570,1,5,3,4,5
571,1,5,3,5,1
572,1,5,3,5,2
573,1,5,3,5,3
574,1,5,3,5,4
575,1,5,3,5,5
576,1,5,4,1,1
577,1,5,4,1,2
578,1,5,4,1,3
579,1,5,4,1,4
580,1,5,4,1,5
581,1,5,4,2,1
582,1,5,4,2,2
583,1,5,4,2,3
584,1,5,4,2,4
585,1,5,4,2,5
586,1,5,4,3,1
587,1,5,4,3,2
588,1,5,4,3,3
589,1,5,4,3,4
590,1,5,4,3,5
591,1,5,4,4,1
592,1,5,4,4,2
593,1,5,4,4,3
594,1,5,4,4,4
595,1,5,4,4,5
596,1,5,4,5,1
597,1,5,4,5,2
598,1,5,4,5,3
599,1,5,4,5,4
600,1,5,4,5,5
601,1,5,5,1,1
602,1,5,5,1,2
603,1,5,5,1,3
604,1,5,5,1,4
605,1,5,5,1,5
606,1,5,5,2,1
607,1,5,5,2,2
608,1,5,5,2,3
609,1,5,5,2,4
610,1,5,5,2,5
611,1,5,5,3,1
612,1,5,5,3,2
613,1,5,5,3,3
614,1,5,5,3,4
615,1,5,5,3,5
616,1,5,5,4,1
617,1,5,5,4,2
618,1,5,5,4,3
619,1,5,5,4,4
620,1,5,5,4,5
621,1,5,5,5,1
622,1,5,5,5,2
623,1,5,5,5,3
624,1,5,5,5,4
625,1,5,5,5,5
626,2,1,1,1,1
627,2,1,1,1,2
628,2,1,1,1,3
629,2,1,1,1,4
630,2,1,1,1,5
631,2,1,1,2,1
632,2,1,1,2,2
633,2,1,1,2,3
634,2,1,1,2,4
635,2,1,1,2,5
636,2,1,1,3,1
637,2,1,1,3,2
638,2,1,1,3,3
639,2,1,1,3,4
640,2,1,1,3,5
641,2,1,1,4,1
642,2,1,1,4,2
643,2,1,1,4,3
644,2,1,1,4,4
645,2,1,1,4,5
646,2,1,1,5,1
647,2,1,1,5,2
648,2,1,1,5,3
649,2,1,1,5,4
650,2,1,1,5,5
651,2,1,2,1,1
652,2,1,2,1,2
653,2,1,2,1,3
654,2,1,2,1,4
655,2,1,2,1,5
656,2,1,2,2,1
657,2,1,2,2,2
658,2,1,2,2,3
659,2,1,2,2,4
660,2,1,2,2,5
661,2,1,2,3,1
662,2,1,2,3,2
663,2,1,2,3,3
664,2,1,2,3,4
665,2,1,2,3,5
666,2,1,2,4,1
667,2,1,2,4,2
668,2,1,2,4,3
669,2,1,2,4,4
670,2,1,2,4,5
671,2,1,2,5,1
672,2,1,2,5,2
673,2,1,2,5,3
674,2,1,2,5,4
675,2,1,2,5,5
676,2,1,3,1,1
677,2,1,3,1,2
678,2,1,3,1,3
679,2,1,3,1,4
680,2,1,3,1,5
681,2,1,3,2,1
682,2,1,3,2,2
683,2,1,3,2,3
684,2,1,3,2,4
685,2,1,3,2,5
686,2,1,3,3,1
687,2,1,3,3,2
688,2,1,3,3,3
689,2,1,3,3,4
690,2,1,3,3,5
691,2,1,3,4,1
692,2,1,3,4,2
693,2,1,3,4,3
694,2,1,3,4,4
695,2,1,3,4,5
696,2,1,3,5,1
697,2,1,3,5,2
698,2,1,3,5,3
699,2,1,3,5,4
700,2,1,3,5,5
701,2,1,4,1,1
702,2,1,4,1,2
703,2,1,4,1,3
704,2,1,4,1,4
705,2,1,4,1,5
706,2,1,4,2,1
707,2,1,4,2,2
708,2,1,4,2,3
709,2,1,4,2,4
710,2,1,4,2,5
711,2,1,4,3,1
712,2,1,4,3,2
713,2,1,4,3,3
714,2,1,4,3,4
715,2,1,4,3,5
716,2,1,4,4,1
717,2,1,4,4,2
718,2,1,4,4,3
719,2,1,4,4,4
720,2,1,4,4,5
721,2,1,4,5,1
722,2,1,4,5,2
723,2,1,4,5,3
724,2,1,4,5,4
725,2,1,4,5,5
726,2,1,5,1,1
727,2,1,5,1,2
728,2,1,5,1,3
729,2,1,5,1,4
730,2,1,5,1,5
731,2,1,5,2,1
732,2,1,5,2,2
733,2,1,5,2,3
734,2,1,5,2,4
735,2,1,5,2,5
736,2,1,5,3,1
737,2,1,5,3,2
738,2,1,5,3,3
739,2,1,5,3,4
740,2,1,5,3,5
741,2,1,5,4,1
742,2,1,5,4,2
743,2,1,5,4,3
744,2,1,5,4,4
745,2,1,5,4,5
746,2,1,5,5,1
747,2,1,5,5,2
748,2,1,5,5,3
749,2,1,5,5,4
750,2,1,5,5,5
751,2,2,1,1,1
752,2,2,1,1,2
753,2,2,1,1,3
754,2,2,1,1,4
755,2,2,1,1,5
756,2,2,1,2,1
757,2,2,1,2,2
758,2,2,1,2,3
759,2,2,1,2,4
760,2,2,1,2,5
761,2,2,1,3,1
762,2,2,1,3,2
763,2,2,1,3,3
764,2,2,1,3,4
765,2,2,1,3,5
766,2,2,1,4,1
767,2,2,1,4,2
768,2,2,1,4,3
769,2,2,1,4,4
770,2,2,1,4,5
771,2,2,1,5,1
772,2,2,1,5,2
773,2,2,1,5,3
774,2,2,1,5,4
775,2,2,1,5,5
776,2,2,2,1,1
777,2,2,2,1,2
778,2,2,2,1,3
779,2,2,2,1,4
780,2,2,2,1,5
781,2,2,2,2,1
782,2,2,2,2,2
783,2,2,2,2,3
784,2,2,2,2,4
785,2,2,2,2,5
786,2,2,2,3,1
787,2,2,2,3,2
788,2,2,2,3,3
789,2,2,2,3,4
790,2,2,2,3,5
791,2,2,2,4,1
792,2,2,2,4,2
793,2,2,2,4,3
794,2,2,2,4,4
795,2,2,2,4,5
796,2,2,2,5,1
797,2,2,2,5,2
798,2,2,2,5,3
799,2,2,2,5,4
800,2,2,2,5,5
801,2,2,3,1,1
802,2,2,3,1,2
803,2,2,3,1,3
804,2,2,3,1,4
805,2,2,3,1,5
806,2,2,3,2,1
807,2,2,3,2,2
808,2,2,3,2,3
809,2,2,3,2,4
810,2,2,3,2,5
811,2,2,3,3,1
812,2,2,3,3,2
813,2,2,3,3,3
814,2,2,3,3,4
815,2,2,3,3,5
816,2,2,3,4,1
817,2,2,3,4,2
818,2,2,3,4,3
819,2,2,3,4,4
820,2,2,3,4,5
821,2,2,3,5,1
822,2,2,3,5,2
823,2,2,3,5,3
824,2,2,3,5,4
825,2,2,3,5,5
826,2,2,4,1,1
827,2,2,4,1,2
828,2,2,4,1,3
829,2,2,4,1,4
830,2,2,4,1,5
831,2,2,4,2,1
832,2,2,4,2,2
833,2,2,4,2,3
834,2,2,4,2,4
835,2,2,4,2,5
836,2,2,4,3,1
837,2,2,4,3,2
838,2,2,4,3,3
839,2,2,4,3,4
840,2,2,4,3,5
841,2,2,4,4,1
842,2,2,4,4,2
843,2,2,4,4,3
844,2,2,4,4,4
845,2,2,4,4,5
846,2,2,4,5,1
847,2,2,4,5,2
848,2,2,4,5,3
849,2,2,4,5,4
850,2,2,4,5,5
851,2,2,5,1,1
852,2,2,5,1,2
853,2,2,5,1,3
854,2,2,5,1,4
855,2,2,5,1,5
856,2,2,5,2,1
857,2,2,5,2,2
858,2,2,5,2,3
859,2,2,5,2,4
860,2,2,5,2,5
861,2,2,5,3,1
862,2,2,5,3,2
863,2,2,5,3,3
864,2,2,5,3,4
865,2,2,5,3,5
866,2,2,5,4,1
867,2,2,5,4,2
868,2,2,5,4,3
869,2,2,5,4,4
870,2,2,5,4,5
871,2,2,5,5,1
872,2,2,5,5,2
873,2,2,5,5,3
874,2,2,5,5,4
875,2,2,5,5,5
876,2,3,1,1,1
877,2,3,1,1,2
878,2,3,1,1,3
879,2,3,1,1,4
880,2,3,1,1,5
881,2,3,1,2,1
882,2,3,1,2,2
883,2,3,1,2,3
884,2,3,1,2,4
885,2,3,1,2,5
886,2,3,1,3,1
887,2,3,1,3,2
888,2,3,1,3,3
889,2,3,1,3,4
890,2,3,1,3,5
891,2,3,1,4,1
892,2,3,1,4,2
893,2,3,1,4,3
894,2,3,1,4,4
895,2,3,1,4,5
896,2,3,1,5,1
897,2,3,1,5,2
898,2,3,1,5,3
899,2,3,1,5,4
900,2,3,1,5,5
901,2,3,2,1,1
902,2,3,2,1,2
903,2,3,2,1,3
904,2,3,2,1,4
905,2,3,2,1,5
906,2,3,2,2,1
907,2,3,2,2,2
908,2,3,2,2,3
909,2,3,2,2,4
910,2,3,2,2,5
911,2,3,2,3,1
912,2,3,2,3,2
913,2,3,2,3,3
914,2,3,2,3,4
915,2,3,2,3,5
916,2,3,2,4,1
917,2,3,2,4,2
918,2,3,2,4,3
919,2,3,2,4,4
920,2,3,2,4,5
921,2,3,2,5,1
922,2,3,2,5,2
923,2,3,2,5,3
924,2,3,2,5,4
925,2,3,2,5,5
926,2,3,3,1,1
927,2,3,3,1,2
928,2,3,3,1,3
929,2,3,3,1,4
930,2,3,3,1,5
931,2,3,3,2,1
932,2,3,3,2,2
933,2,3,3,2,3
934,2,3,3,2,4
935,2,3,3,2,5
936,2,3,3,3,1
937,2,3,3,3,2
938,2,3,3,3,3
939,2,3,3,3,4
940,2,3,3,3,5
941,2,3,3,4,1
942,2,3,3,4,2
943,2,3,3,4,3
944,2,3,3,4,4
945,2,3,3,4,5
946,2,3,3,5,1
947,2,3,3,5,2
948,2,3,3,5,3
949,2,3,3,5,4
950,2,3,3,5,5
951,2,3,4,1,1
952,2,3,4,1,2
953,2,3,4,1,3
954,2,3,4,1,4
955,2,3,4,1,5
956,2,3,4,2,1
957,2,3,4,2,2
958,2,3,4,2,3
959,2,3,4,2,4
960,2,3,4,2,5
961,2,3,4,3,1
962,2,3,4,3,2
963,2,3,4,3,3
964,2,3,4,3,4
965,2,3,4,3,5
966,2,3,4,4,1
967,2,3,4,4,2
968,2,3,4,4,3
969,2,3,4,4,4
970,2,3,4,4,5
971,2,3,4,5,1
972,2,3,4,5,2
973,2,3,4,5,3
974,2,3,4,5,4
975,2,3,4,5,5
976,2,3,5,1,1
977,2,3,5,1,2
978,2,3,5,1,3
979,2,3,5,1,4
980,2,3,5,1,5
981,2,3,5,2,1
982,2,3,5,2,2
983,2,3,5,2,3
984,2,3,5,2,4
985,2,3,5,2,5
986,2,3,5,3,1
987,2,3,5,3,2
988,2,3,5,3,3
989,2,3,5,3,4
990,2,3,5,3,5
991,2,3,5,4,1
992,2,3,5,4,2
993,2,3,5,4,3
994,2,3,5,4,4
995,2,3,5,4,5
996,2,3,5,5,1
997,2,3,5,5,2
998,2,3,5,5,3
999,2,3,5,5,4
1000,2,3,5,5,5
1001,2,4,1,1,1
1002,2,4,1,1,2
1003,2,4,1,1,3
1004,2,4,1,1,4
1005,2,4,1,1,5
1006,2,4,1,2,1
1007,2,4,1,2,2
1008,2,4,1,2,3
1009,2,4,1,2,4
1010,2,4,1,2,5
1011,2,4,1,3,1
1012,2,4,1,3,2
1013,2,4,1,3,3
1014,2,4,1,3,4
1015,2,4,1,3,5
1016,2,4,1,4,1
1017,2,4,1,4,2
1018,2,4,1,4,3
1019,2,4,1,4,4
1020,2,4,1,4,5
1021,2,4,1,5,1
1022,2,4,1,5,2
1023,2,4,1,5,3
1024,2,4,1,5,4
1025,2,4,1,5,5
1026,2,4,2,1,1
1027,2,4,2,1,2
1028,2,4,2,1,3
1029,2,4,2,1,4
1030,2,4,2,1,5
1031,2,4,2,2,1
1032,2,4,2,2,2
1033,2,4,2,2,3
1034,2,4,2,2,4
1035,2,4,2,2,5
1036,2,4,2,3,1
1037,2,4,2,3,2
1038,2,4,2,3,3
1039,2,4,2,3,4
1040,2,4,2,3,5
1041,2,4,2,4,1
1042,2,4,2,4,2
1043,2,4,2,4,3
1044,2,4,2,4,4
1045,2,4,2,4,5
1046,2,4,2,5,1
1047,2,4,2,5,2
1048,2,4,2,5,3
1049,2,4,2,5,4
1050,2,4,2,5,5
1051,2,4,3,1,1
1052,2,4,3,1,2
1053,2,4,3,1,3
1054,2,4,3,1,4
1055,2,4,3,1,5
1056,2,4,3,2,1
1057,2,4,3,2,2
1058,2,4,3,2,3
1059,2,4,3,2,4
1060,2,4,3,2,5
1061,2,4,3,3,1
1062,2,4,3,3,2
1063,2,4,3,3,3
1064,2,4,3,3,4
1065,2,4,3,3,5
1066,2,4,3,4,1
1067,2,4,3,4,2
1068,2,4,3,4,3
1069,2,4,3,4,4
1070,2,4,3,4,5
1071,2,4,3,5,1
1072,2,4,3,5,2
1073,2,4,3,5,3
1074,2,4,3,5,4
1075,2,4,3,5,5
1076,2,4,4,1,1
1077,2,4,4,1,2
1078,2,4,4,1,3
1079,2,4,4,1,4
1080,2,4,4,1,5
1081,2,4,4,2,1
1082,2,4,4,2,2
1083,2,4,4,2,3
1084,2,4,4,2,4
1085,2,4,4,2,5
1086,2,4,4,3,1
1087,2,4,4,3,2
1088,2,4,4,3,3
1089,2,4,4,3,4
1090,2,4,4,3,5
1091,2,4,4,4,1
1092,2,4,4,4,2
1093,2,4,4,4,3
1094,2,4,4,4,4
1095,2,4,4,4,5
1096,2,4,4,5,1
1097,2,4,4,5,2
1098,2,4,4,5,3
1099,2,4,4,5,4
1100,2,4,4,5,5
1101,2,4,5,1,1
1102,2,4,5,1,2
1103,2,4,5,1,3
1104,2,4,5,1,4
1105,2,4,5,1,5
1106,2,4,5,2,1
1107,2,4,5,2,2
1108,2,4,5,2,3
1109,2,4,5,2,4
1110,2,4,5,2,5
1111,2,4,5,3,1
1112,2,4,5,3,2
1113,2,4,5,3,3
1114,2,4,5,3,4
1115,2,4,5,3,5
1116,2,4,5,4,1
1117,2,4,5,4,2
1118,2,4,5,4,3
1119,2,4,5,4,4
1120,2,4,5,4,5
1121,2,4,5,5,1
1122,2,4,5,5,2
1123,2,4,5,5,3
1124,2,4,5,5,4
1125,2,4,5,5,5
1126,2,5,1,1,1
1127,2,5,1,1,2
1128,2,5,1,1,3
1129,2,5,1,1,4
1130,2,5,1,1,5
1131,2,5,1,2,1
1132,2,5,1,2,2
1133,2,5,1,2,3
1134,2,5,1,2,4
1135,2,5,1,2,5
1136,2,5,1,3,1
1137,2,5,1,3,2
1138,2,5,1,3,3
1139,2,5,1,3,4
1140,2,5,1,3,5
1141,2,5,1,4,1
1142,2,5,1,4,2
1143,2,5,1,4,3
1144,2,5,1,4,4
1145,2,5,1,4,5
1146,2,5,1,5,1
1147,2,5,1,5,2
1148,2,5,1,5,3
1149,2,5,1,5,4
1150,2,5,1,5,5
